Metric,Baseline_HomeWin,Linear_Regression,Gain_vs_Baseline
Accuracy,0.44438233650083847,0.3683622135271101,-0.07602012297372834
Macro-F1,0.20510835913312694,0.3324015873299901,0.12729322819686315
