Model,Accuracy,Macro-F1,RMSE,R²
Linear Regression,0.6718837339295696,0.6587475465664929,0.45780051141222383,0.15117196479589767
Ridge Regression,0.6724427054220234,0.6589371084835146,0.4577429802937461,0.15138529333788509
Lasso Regression,0.6710452766908888,0.656552403677126,0.45760005869399356,0.1519151384349685
Elastic Net Regression,0.6713247624371157,0.6569673233732205,0.4575243756820686,0.1521956467417509
