Metric,Baseline_HomeWin,Linear_Model,Gain_vs_Baseline
Accuracy,0.44438233650083847,0.6718837339295696,0.2275013974287311
Macro-F1,0.3076625386996904,0.6587475465664929,0.3510850078668025
