Metric,Baseline_HomeWin,Logistic_Regression,Gain_vs_Baseline
Accuracy,0.44438233650083847,0.5089435438792621,0.06456120737842364
Macro-F1,0.20510835913312694,0.48701719296738216,0.28190883383425525
