,precision,recall,f1-score,support,Model,League
A,0.5176954732510288,0.5813308687615527,0.5476708750544188,1082.0,Logistic Regression (Multinomial),all_leagues
D,0.2991718426501035,0.3189845474613687,0.3087606837606838,906.0,Logistic Regression (Multinomial),all_leagues
H,0.6463851109520401,0.5679245283018868,0.6046200200870439,1590.0,Logistic Regression (Multinomial),all_leagues
accuracy,0.5089435438792621,0.5089435438792621,0.5089435438792621,0.5089435438792621,Logistic Regression (Multinomial),all_leagues
macro avg,0.48775080895105755,0.4894133148416027,0.48701719296738216,3578.0,Logistic Regression (Multinomial),all_leagues
weighted avg,0.5195496137262019,0.5089435438792621,0.5124826434417161,3578.0,Logistic Regression (Multinomial),all_leagues
