YearMonth,Accuracy,Model
2022-08,0.5544554455445545,XGBoost
2022-09,0.46099290780141844,XGBoost
2022-10,0.5095785440613027,XGBoost
2022-11,0.5384615384615384,XGBoost
2022-12,0.5789473684210527,XGBoost
2023-01,0.46842105263157896,XGBoost
2023-02,0.5192307692307693,XGBoost
2023-03,0.4966887417218543,XGBoost
2023-04,0.4807692307692308,XGBoost
2023-05,0.49122807017543857,XGBoost
2023-06,0.5333333333333333,XGBoost
2023-08,0.5241935483870968,XGBoost
2023-09,0.4973544973544973,XGBoost
2023-10,0.5818181818181818,XGBoost
2023-11,0.5069444444444444,XGBoost
2023-12,0.46956521739130436,XGBoost
2024-01,0.5357142857142857,XGBoost
2024-02,0.5226130653266332,XGBoost
2024-03,0.55,XGBoost
2024-04,0.5099009900990099,XGBoost
2024-05,0.5842696629213483,XGBoost
