,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,Month,Weekday,IsWeekend,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,FormDiff_RecentFormIdx
Prob_H_b365,1.0,-0.49270159777367256,-0.9575630320700108,-0.0011704505112171528,-0.9018488941616203,0.9987440763493856,-0.48850175781326,-0.9556983006651341,0.09528425783373153,-0.8980339285643268,-0.488131893337982,0.4081121575639886,0.5634704401616989,0.45897521571910566,-0.2868714662790187,0.48966716172181657,0.4574573978852441,0.4481589472482471,0.25878333701977396,-0.2313399601391525,0.37620874593580583,0.4014055973953987,0.550903576307496,0.5748645568613687,-0.430955707431521,0.2846144365522089,-0.4658790570314094,-0.4198808487753756,-0.4090789120242325,-0.2274493613303719,0.19450319697629453,-0.34007861813144635,-0.3886860185093663,-0.5110130729355783,-0.5424698917503932,0.6304026480483685,-0.41479006711225636,0.6852080593257054,0.6267957717127962,0.6140548832887917,0.3503636450903821,-0.31674201859323553,0.5174447803300879,0.5759959071814664,0.7535244429149509,0.7981287452263686,-0.02377569520083003,0.007706958966090349,-0.0007854249770259923,0.0047224607932333336,0.7485136449747775,0.8090794784992723,0.503809697289367,0.4608467538904952,-0.4649203365645816,-0.4248440134410953,0.6913151024974509,0.6373915866681266,0.5797383068037073
Prob_D_b365,-0.49270159777367256,1.0,0.220980844246058,-0.009700835235180928,0.5225096559984059,-0.4920236892039987,0.9892962386612661,0.21575991905089018,-0.09465050421130329,0.517487672425687,-0.29340765237605876,-0.6691981497817051,-0.6461053717231336,-0.4913991647289934,0.224425572329638,-0.47305651874598587,-0.4175263053875638,-0.4121429585101391,-0.1941277924762883,0.18746242588158754,-0.34866808671743715,-0.4060448754615242,-0.4959873755876896,-0.550496546195549,-0.1376821697137355,-0.0336629041545255,-0.07423952642774269,-0.04512775673844497,-0.04934570536472571,0.021964327498987198,-0.002033044649333565,-0.05033451954102122,-0.0797994785947258,-0.041902395344450755,-0.07679955960538656,-0.24966463558776936,0.18924001533179505,-0.2863874454160457,-0.2660694512896529,-0.2582401765488217,-0.15565077279065775,0.14074664075038404,-0.21612875182316788,-0.23914299835361905,-0.3229287638694685,-0.3382176460486237,0.017971047731428803,0.0015271717345818347,-0.06322009244871439,-0.0954186975848657,-0.313324427997032,-0.3342745696940508,-0.5216359538204101,-0.4154286500429021,-0.1270302592161683,-0.03903090875922742,-0.2755042865848621,-0.2709007011243993,-0.24375164844470149
Prob_A_b365,-0.9575630320700108,0.220980844246058,1.0,0.004524862458818378,0.8376868831471703,-0.9555543380526811,0.22023733451733277,0.998569219866625,-0.07541402143092914,0.8344146578133745,0.641848738808486,-0.22796862635195309,-0.408526356495211,-0.35172828331533257,0.2472367177586021,-0.3922089492841097,-0.37449645306330714,-0.36576737674645377,-0.2257341222994556,0.19718453001128095,-0.3062274230233836,-0.3154669716641894,-0.4532577441825271,-0.4620617824522867,0.528091654632093,-0.30755192504687995,0.5462097319459707,0.4850749551417249,0.47482088006994416,0.24763980717188652,-0.21731683326382903,0.39744148601965745,0.46161464745223396,0.5860502221790365,0.6328165233862764,-0.6237535933985087,0.40214677399528614,-0.6730074357417865,-0.6142787752358613,-0.6026710113827533,-0.3411173262105296,0.30837225080433633,-0.5082779563399527,-0.5662692632673939,-0.7374619452814339,-0.7823827375494269,0.020691726357106872,-0.009143428387230252,0.02181979816859656,0.026311519264079184,-0.73471333902213,-0.7956224516801272,-0.3919709329780406,-0.3789906575135718,0.5625988453794905,0.4886155166562062,-0.6834553221892719,-0.6245525734899723,-0.5689367602893357
Margin_B365,-0.0011704505112171528,-0.009700835235180928,0.004524862458818378,1.0,0.01645433014317132,0.0005337820356881162,-0.001411721446635274,-0.00011875899873045961,0.08046081487537443,0.0007769386590867729,-0.019310214781438597,-0.021300065081205546,-0.006952756158399498,-0.04346501951387289,-0.02694808496650704,-0.012871672943929286,-0.01298563233151144,-0.03682783410837467,-0.02672681612894447,-0.03301456594493745,-0.014674220204070007,-0.01856224114727872,-0.0012884162434525575,-0.004118320416751437,-0.021222629707621753,-0.016384790076908524,-0.004739829664521175,0.0017004508518647776,-0.022196519929053048,-0.016022696360861934,-0.042108712116909267,-0.005053899738614289,-0.011533157407624964,-0.008805175473310192,-0.015784090132546776,-0.016112259448875954,-0.00818116020709297,-0.0062150395358848785,-0.010649018543524123,-0.01026583934350969,-0.00769755911542851,0.006854053898814179,-0.007260553593677723,-0.005345451178101939,0.005207460766094971,0.008070156390526908,-0.01515256530770878,0.06317646477353896,-0.053505480470447446,-0.08155569654214435,-0.005198607346185616,-0.00044839610628439344,-0.025344609974716433,-0.012948054542474541,-0.010807964296397158,-0.0005661366844293769,-0.010424337081691123,-0.00904344421796856,-0.008831620055162637
OddsDiff_B365,-0.9018488941616203,0.5225096559984059,0.8376868831471703,0.01645433014317132,1.0,-0.9034452721728663,0.519243913912234,0.8381526485544704,-0.045398699251708925,0.9859116377249787,0.5126491908827142,-0.6206001961623386,-0.7793252813540066,-0.4905620465970523,0.280211541108567,-0.5070217065525149,-0.443383352826387,-0.4357557823783317,-0.25613157538356257,0.23191292727007926,-0.37071433479369303,-0.4219181922948411,-0.5311139690290944,-0.5882488258488647,0.3943623034262706,-0.22449988576078192,0.40479659810188134,0.3524945759829738,0.3467537743651872,0.18363843664476442,-0.14626109972086646,0.2833397042291556,0.33689943141425416,0.42989828591066803,0.4715856249148508,-0.6262903249956951,0.36654723999553074,-0.6533471940940767,-0.5681619898663866,-0.5603293355247014,-0.3168678714167493,0.281223086574444,-0.47246614206717874,-0.5529708876616715,-0.6813267431216976,-0.7561943043905026,0.01513601108546183,-0.011163609740484224,-0.008921242885023432,-0.02145151413259865,-0.6715655780823233,-0.7523277779515813,-0.5488924619340474,-0.4545055627114764,0.4161305001380702,0.3615375447787847,-0.6874037947110619,-0.5869031271471168,-0.5277848223372142
Prob_H_ps,0.9987440763493856,-0.4920236892039987,-0.9555543380526811,0.0005337820356881162,-0.9034452721728663,1.0,-0.4942913926555429,-0.9551368819273004,0.09050178574518503,-0.9003666404900674,-0.4895176162041001,0.4262182137504308,0.5651740543537478,0.4585283463016335,-0.2862306899342589,0.48906324897249226,0.45847630178850785,0.4488008793928985,0.2600397491669882,-0.23346533380664503,0.3780181916324411,0.40155367368637335,0.5513852105828297,0.5740256372205448,-0.4296758478462633,0.2871210357793069,-0.46642309075820354,-0.4192762418281067,-0.40817608962242946,-0.22654984098411263,0.1927770113344452,-0.3399545130229602,-0.38907302602532323,-0.5095644071267804,-0.5417800248430041,0.6296360414289195,-0.4161204093697575,0.6854347424042861,0.6275911133200279,0.6144695237525286,0.3505502019992346,-0.3169824383397182,0.5192050222630858,0.5766802596693741,0.7532487160168392,0.7978231928485272,-0.021686181376661347,0.009136112586007857,-0.0005257479353051855,0.005700250239602441,0.748115259247109,0.8086764617704478,0.5040393912717135,0.46104950925810606,-0.4644155842065103,-0.42477999426856755,0.6915205558271139,0.6377897752974863,0.5812356797986348
Prob_D_ps,-0.48850175781326,0.9892962386612661,0.22023733451733277,-0.001411721446635274,0.519243913912234,-0.4942913926555429,1.0,0.21466105747614744,-0.08076637869212365,0.5178630806784127,-0.2945615715787272,-0.7155819180609325,-0.6489426747067893,-0.4904366436070344,0.21536246957464528,-0.4668477301892624,-0.4138121631805639,-0.40889242937337594,-0.19172946903380841,0.18545592042476727,-0.34684995701253135,-0.4013756307293257,-0.4933920215474958,-0.544601867486754,-0.14436038194163867,-0.04086197739955876,-0.07449137781550863,-0.045571547605423916,-0.04984392683109152,0.021774634387230492,-0.0015289230020405138,-0.050864148676870675,-0.0805799655599121,-0.045260996428539396,-0.08014123155722551,-0.2439762033871017,0.18779827056750756,-0.2815832351361488,-0.26304904070335267,-0.2556604105552934,-0.15377123332063852,0.13887234103311175,-0.2143465624122584,-0.2349661610734506,-0.3186173237635389,-0.3313410211477589,0.01647344087056693,0.0009904961130788386,-0.06885584462194468,-0.10420876594742033,-0.3099842928734362,-0.32893177818867236,-0.5180996322545051,-0.4106085465382114,-0.12921023068082288,-0.04026365182222888,-0.2711908567976458,-0.26655620311896233,-0.2414429894559846
Prob_A_ps,-0.9556983006651341,0.21575991905089018,0.998569219866625,-0.00011875899873045961,0.8381526485544704,-0.9551368819273004,0.21466105747614744,1.0,-0.07416563622055322,0.8351641272982959,0.646144006147054,-0.22840614741854032,-0.4059862250876661,-0.34817663631538587,0.2482542986741994,-0.3905133552396318,-0.3742058271700113,-0.3649379434239959,-0.22684366849224405,0.19912363155542492,-0.30661010574386666,-0.3144880709553612,-0.45149405559874384,-0.45949534711540874,0.5313332259132101,-0.30834891498956474,0.548814798531695,0.4860653042387076,0.4755834783483117,0.24711916425840832,-0.21607166841895972,0.39883986160703205,0.4640729176169187,0.5872930299356499,0.6353117333689444,-0.6241150924711611,0.4034299650594211,-0.673981907942743,-0.6153246369440478,-0.6032785403714274,-0.34146790000753013,0.3088291704787643,-0.5101714891002128,-0.5677049859526264,-0.7375388462332253,-0.7832710415977321,0.018748348975956026,-0.010602239169374233,0.024049525981888274,0.029098927908729238,-0.7342209118167364,-0.795752431037642,-0.3898895936534795,-0.37818750309229476,0.5651704960266342,0.49043723503506687,-0.6843555053728949,-0.6255852757383075,-0.5706162961060371
Margin_PS,0.09528425783373153,-0.09465050421130329,-0.07541402143092914,0.08046081487537443,-0.045398699251708925,0.09050178574518503,-0.08076637869212365,-0.07416563622055322,1.0,-0.0413037338088451,-0.06340624573294923,-0.07210487930648331,-0.023209069738074645,0.05004564493295218,-0.07840354478459859,0.08259925689213853,0.07703982009958193,0.07642004229784319,0.05301420947403282,-0.00822103909953777,0.061018414948307405,0.06757256411822486,0.0908329534677775,0.09255274356858335,-0.02779487914835654,-0.006686748594735449,-0.015049316351573262,-0.022862461449764466,-0.018354779872312637,-0.002675970894304375,0.04078150126839308,-0.016257467121821537,-0.008789621274617361,-0.028752433315920606,-0.02069445931683044,0.054423136929115795,-0.052798760781807785,0.06937751765854724,0.07104168642239958,0.06773900218998724,0.040107898707392835,-0.03648242198798714,0.05515458384649674,0.055167582336463294,0.08514015401730941,0.08076140022989078,-0.007341007599626862,-0.08608034999343632,0.005023667721051009,0.015301131542816072,0.08207220720768044,0.08025251343475785,0.04760520238460394,0.0857559536210188,-0.041992182273421,-0.010623869333379516,0.0634391807125125,0.0690145131796019,0.06338861866477576
OddsDiff_PS,-0.8980339285643268,0.517487672425687,0.8344146578133745,0.0007769386590867729,0.9859116377249787,-0.9003666404900674,0.5178630806784127,0.8351641272982959,-0.0413037338088451,1.0,0.5331810916021921,-0.6101467501080537,-0.7643582376788299,-0.48616208634774144,0.2834592546192205,-0.5061325041253351,-0.44651358924802015,-0.4362239220983893,-0.2625082598796588,0.24206086150543019,-0.3703275890408288,-0.4178647482587395,-0.5315781242208795,-0.5843417505461612,0.39847205097105065,-0.22845767492194904,0.4099132916786183,0.35284276832751965,0.3473640420511173,0.18366887305138732,-0.14355034256886134,0.28346566146902175,0.34109016679328147,0.4282607823802945,0.4741055664018944,-0.6267932087724754,0.3716660932796706,-0.656711817892412,-0.5711007326422188,-0.561639226651004,-0.32142313647107645,0.2866987214425809,-0.47281395535671966,-0.553409909044981,-0.6808309146916353,-0.7559175388512858,0.014719543839590234,-0.021260871844002337,-0.00903173581044678,-0.022461104602126268,-0.6716309167354053,-0.7534329363226875,-0.549371049304689,-0.4573309937192638,0.42049768965168954,0.3629532176359618,-0.6914088949379011,-0.5902258662001548,-0.5291461044270125
