,missing,missing_%
AC,2,0.06
AF,2,0.06
AR,2,0.06
AS,2,0.06
AST,2,0.06
AY,2,0.06
AwayTeam,2,0.06
B365A,5,0.15
B365D,5,0.15
B365H,5,0.15
Bb1X2,1522,44.48
BbAvA,1522,44.48
BbAvD,1522,44.48
BbAvH,1522,44.48
BbMxA,1522,44.48
BbMxD,1522,44.48
BbMxH,1522,44.48
Date,2,0.06
Div,2,0.06
FTAG,2,0.06
FTHG,2,0.06
FTR,2,0.06
HC,2,0.06
HF,2,0.06
HR,2,0.06
HS,2,0.06
HST,2,0.06
HY,3,0.09
HomeTeam,2,0.06
PSA,9,0.26
PSD,9,0.26
PSH,9,0.26
Season,0,0.0
SourceFile,0,0.0
