Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx,Market_ImpliedDiff_b365,Market_ImpliedDiff_ps,Market_BigHomeFav,Market_BigAwayFav,Market_BalancedMatch
I1,2014-09-13,Empoli,Roma,0.0,1.0,A,17.0,5.0,3.0,2.0,4.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,5.5,3.75,1.62,6.76,4.21,1.57,7.2,4.33,1.62,6.22,3.9,1.57,46.0,2014/2015,12.0,1.0,7.0,-6.0,-1.0,-1.0,1.0,0.1705981465880371,0.25021061499578773,0.5791912384161753,0.06576879910213229,3.88,0.14468779072949162,0.23232528867728347,0.622986920593225,0.02240136045347718,5.1899999999999995,0.9800000000000004,0.43000000000000016,0.050000000000000044,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,-2.0,2.0,-4.0,-3.0,-1.0,-1.0,1.0,-3.0,-4.0,-3.0,-4.0,0.0,1,9,5,1,0.0,-2.0,3.0,2.0,-3.0,-4.0,0.0,0.0,2.0,0.9995002498750625,-2.0,-0.9995002498750625,0.0,3.0,-3.0,-0.4085930918281382,-0.4782991298637334,0,0,0
I1,2014-09-13,Juventus,Udinese,2.0,0.0,H,18.0,9.0,7.0,1.0,13.0,14.0,4.0,6.0,0.0,1.0,0.0,0.0,1.4,4.5,8.0,1.42,4.84,9.3,1.45,5.0,10.0,1.39,4.6,8.42,46.0,2014/2015,9.0,6.0,-2.0,-1.0,-1.0,2.0,2.0,0.6728971962616822,0.20934579439252335,0.11775700934579439,0.06150793650793651,-6.6,0.6915262986474279,0.20288581489242719,0.10558788646014489,0.018363804081040103,-7.880000000000001,0.06000000000000005,0.40000000000000036,1.58,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1,9,5,1,3.0,1.0,3.0,2.0,0.0,-1.0,1.0,0.9990009990009991,2.0,0.9995002498750625,-1.0,-0.0004992508740633284,3.0,3.0,0.0,0.5551401869158878,0.585938412187283,1,0,0
I1,2014-09-14,Cagliari,Atalanta,1.0,2.0,A,19.0,7.0,9.0,3.0,14.0,21.0,7.0,7.0,4.0,4.0,0.0,0.0,2.25,3.4,3.1,2.34,3.48,3.29,2.35,3.5,3.45,2.27,3.35,3.17,46.0,2014/2015,12.0,6.0,0.0,-7.0,0.0,-1.0,3.0,0.41883568448241604,0.27717067355454006,0.3039936419630439,0.06114273666455827,-0.8500000000000001,0.4195229196438387,0.28209299769154667,0.2983840826646147,0.018658116970662775,-0.9500000000000002,0.08000000000000007,0.1499999999999999,0.28000000000000025,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,9,6,1,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.49975012493753124,0.0,0.0,0.5,0.49975012493753124,1.0,1.0,0.0,0.11484204251937213,0.12113883697922401,0,0,1
I1,2014-09-14,Fiorentina,Genoa,0.0,0.0,D,22.0,6.0,7.0,1.0,13.0,18.0,12.0,3.0,1.0,3.0,0.0,1.0,1.57,3.8,6.0,1.56,4.25,6.98,1.62,4.25,7.0,1.56,3.93,6.3,46.0,2014/2015,16.0,6.0,9.0,-5.0,-3.0,0.0,0.0,0.5970774629445346,0.24668726758497875,0.15623526947048655,0.06676723656274453,-4.43,0.6287115493029387,0.23077412162649047,0.14051432907057082,0.01958623431739892,-5.42,0.06000000000000005,0.31999999999999984,0.7000000000000002,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1,9,6,1,0.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.3333333333333333,0.33322225924691773,-0.3333333333333333,-0.33322225924691773,0.0,0.0,0.0,0.440842193474048,0.4881972202323679,0,0,0
I1,2014-09-14,Inter Milan,Sassuolo,7.0,0.0,H,22.0,14.0,11.0,2.0,16.0,12.0,6.0,1.0,0.0,1.0,0.0,1.0,1.44,4.33,7.0,1.47,4.59,8.16,1.51,4.59,8.3,1.46,4.28,7.36,46.0,2014/2015,8.0,9.0,5.0,4.0,-2.0,7.0,7.0,0.6500776404176282,0.2161921021250311,0.13373025745734066,0.06824846951867736,-5.5600000000000005,0.6664851619929214,0.2134494963245304,0.12006534168254833,0.020686052198657157,-6.69,0.050000000000000044,0.3099999999999996,0.9400000000000004,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,9,6,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.49975012493753124,-0.5,-0.49975012493753124,1.0,1.0,0.0,0.5163473829602875,0.5464198203103731,1,0,0
I1,2014-09-14,Lazio,Cesena,3.0,0.0,H,17.0,7.0,6.0,1.0,26.0,10.0,7.0,1.0,3.0,1.0,0.0,0.0,1.33,5.0,9.0,1.35,5.17,11.74,1.41,5.2,13.0,1.33,4.91,10.27,45.0,2014/2015,10.0,5.0,6.0,16.0,2.0,3.0,3.0,0.7073247406475951,0.1881483810122603,0.10452687834014461,0.06299081035923138,-7.67,0.7266843301889391,0.189753161654752,0.083562508156309,0.019343214058499036,-10.39,0.07999999999999985,0.29000000000000004,2.7300000000000004,1.0,3.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,-3.0,-3.0,-1.0,-1.0,1.0,-3.0,-3.0,-3.0,-3.0,0.0,1,9,6,1,0.0,-2.0,3.0,1.0,-3.0,-3.0,0.25,0.2499375156210947,1.0,0.9990009990009991,-0.75,-0.7490634833799045,0.0,3.0,-3.0,0.6027978623074505,0.64312182203263,1,0,0
I1,2014-09-14,Napoli,Chievo,0.0,1.0,A,33.0,8.0,9.0,1.0,14.0,12.0,15.0,2.0,2.0,2.0,0.0,0.0,1.36,4.75,8.0,1.39,4.93,10.3,1.41,5.2,11.0,1.35,4.85,9.11,46.0,2014/2015,25.0,8.0,13.0,2.0,0.0,-1.0,1.0,0.6866642573183954,0.19660281893747744,0.11673292374412723,0.07082043343653233,-6.64,0.7057667476966226,0.19898900188606602,0.0952442504173112,0.019351595664723664,-8.91,0.05999999999999983,0.35000000000000053,1.8900000000000006,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,1,9,6,1,3.0,1.0,0.0,-1.0,3.0,2.0,1.0,0.6664445184938355,0.0,0.0,1.0,0.6664445184938355,3.0,0.0,3.0,0.5699313335742682,0.6105224972793114,1,0,0
I1,2014-09-14,Parma,Milan,4.0,5.0,A,11.0,11.0,3.0,7.0,24.0,12.0,5.0,4.0,3.0,1.0,1.0,1.0,2.7,3.2,2.6,2.96,3.42,2.56,2.98,3.45,2.66,2.83,3.29,2.53,46.0,2014/2015,0.0,-4.0,1.0,12.0,2.0,-1.0,9.0,0.3469557964970809,0.29274395329441205,0.3603002502085071,0.06748575498575482,0.10000000000000009,0.3309343816147566,0.2864227396431811,0.3826428787420623,0.020860498656551263,0.3999999999999999,0.1499999999999999,0.16000000000000014,0.13000000000000034,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,-3.0,0.0,-3.0,-3.0,-1.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,0.0,1,9,6,1,0.0,-1.0,3.0,2.0,-3.0,-3.0,0.0,0.0,1.5,0.7498125468632841,-1.5,-0.7498125468632841,0.0,3.0,-3.0,-0.013344453711426174,-0.05170849712730574,0,0,0
I1,2014-09-14,Sampdoria,Torino,2.0,0.0,H,8.0,10.0,4.0,0.0,18.0,17.0,3.0,5.0,3.0,4.0,0.0,0.0,2.4,3.1,3.1,2.5,3.22,3.24,2.56,3.25,3.3,2.46,3.13,3.05,46.0,2014/2015,-2.0,4.0,-2.0,1.0,-1.0,2.0,2.0,0.3924050632911393,0.3037974683544304,0.3037974683544304,0.06182795698924726,-0.7000000000000002,0.3924643002242051,0.3047083076274884,0.3028273921483064,0.01920098151982219,-0.7400000000000002,0.10000000000000009,0.1200000000000001,0.25,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,9,6,1,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.49975012493753124,0.0,0.0,0.5,0.49975012493753124,1.0,1.0,0.0,0.08860759493670889,0.08963690807589869,0,0,1
I1,2014-09-15,Verona,Palermo,2.0,1.0,H,14.0,18.0,5.0,4.0,9.0,12.0,10.0,5.0,4.0,2.0,0.0,0.0,2.2,3.3,3.3,2.2,3.44,3.64,2.26,3.5,3.7,2.17,3.29,3.4,43.0,2014/2015,-4.0,1.0,5.0,-3.0,2.0,1.0,3.0,0.4285714285714286,0.28571428571428575,0.28571428571428575,0.06060606060606055,-1.0999999999999996,0.44564660326860656,0.28500654860201585,0.26934684812937754,0.019968403689333947,-1.44,0.08999999999999986,0.20999999999999996,0.30000000000000027,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,9,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.49975012493753124,-0.5,-0.49975012493753124,1.0,1.0,0.0,0.14285714285714285,0.17629975513922902,0,0,1
