Drużyna,Łączna liczba punktów
Juventus,745
Napoli,700
Inter Milan,666
Roma,632
Milan,614
Lazio,591
Atalanta,553
Fiorentina,504
Torino,462
Sassuolo,429
Udinese,378
Bologna,375
Sampdoria,358
Genoa,339
Empoli,278
Verona,264
Cagliari,264
Chievo,196
Palermo,114
Spezia,106
Monza,97
Crotone,92
Frosinone,91
Salernitana,90
Parma,87
Spal,80
Lecce,74
Benevento,54
Carpi,38
Cremonese,27
Venezia,27
Cesena,24
Pescara,18
