,missing,missing_%
AC,1,0.03
AF,1,0.03
AR,1,0.03
AS,1,0.03
AST,1,0.03
AY,1,0.03
AwayTeam,1,0.03
B365A,1,0.03
B365D,1,0.03
B365H,1,0.03
Bb1X2,1521,44.46
BbAvA,1521,44.46
BbAvD,1521,44.46
BbAvH,1521,44.46
BbMxA,1521,44.46
BbMxD,1521,44.46
BbMxH,1521,44.46
Date,1,0.03
Div,1,0.03
FTAG,1,0.03
FTHG,1,0.03
FTR,1,0.03
HC,1,0.03
HF,1,0.03
HR,1,0.03
HS,1,0.03
HST,1,0.03
HY,1,0.03
HomeTeam,1,0.03
PSA,1,0.03
PSD,1,0.03
PSH,1,0.03
Season,0,0.0
SourceFile,0,0.0
