Metric,Baseline_HomeWin,XGBoost,Gain_vs_Baseline
Accuracy,0.41253644314868804,0.4868804664723032,0.07434402332361517
Macro-F1,0.19470244238046097,0.44992864844335956,0.2552262060628986
