Metric,Baseline_HomeWin,Decision_Tree,Gain_vs_Baseline
Accuracy,0.44438233650083847,0.49636668529904976,0.05198434879821129
Macro-F1,0.20510835913312694,0.48049930797878515,0.2753909488456582
