Metric,Baseline_HomeWin,Random_Forest,Gain_vs_Baseline
Accuracy,0.45588235294117646,0.48366013071895425,0.02777777777777779
Macro-F1,0.20875420875420878,0.44830698343461933,0.23955277468041056
