YearMonth,Accuracy,Model
2022-08,0.4722222222222222,Random Forest
2022-09,0.35714285714285715,Random Forest
2022-10,0.45454545454545453,Random Forest
2022-11,0.4074074074074074,Random Forest
2023-01,0.48148148148148145,Random Forest
2023-02,0.4722222222222222,Random Forest
2023-03,0.39285714285714285,Random Forest
2023-04,0.4772727272727273,Random Forest
2023-05,0.4166666666666667,Random Forest
2023-08,0.6666666666666666,Random Forest
2023-09,0.5294117647058824,Random Forest
2023-10,0.5862068965517241,Random Forest
2023-11,0.5925925925925926,Random Forest
2023-12,0.42857142857142855,Random Forest
2024-01,0.4444444444444444,Random Forest
2024-02,0.4594594594594595,Random Forest
2024-03,0.6111111111111112,Random Forest
2024-04,0.5555555555555556,Random Forest
2024-05,0.4444444444444444,Random Forest
