Metric,Baseline_HomeWin,XGBoost,Gain_vs_Baseline
Accuracy,0.4723684210526316,0.5421052631578948,0.06973684210526315
Macro-F1,0.2138814417634793,0.4831440781339345,0.2692626363704552
