Model,Accuracy,Macro-F1
Decision Tree,0.5184210526315789,0.4957603265236682
Logistic Regression,0.5263157894736842,0.495178218478371
Random Forest,0.5355263157894737,0.4884863556749964
Linear Regression vB,0.5052631578947369,0.4849808825218661
XGBoost,0.5144736842105263,0.4780917044719555
Linear Regression vA,0.3934210526315789,0.386763186401003
