TrainSize,Train_F1_macro,CV_F1_macro
212,0.5539959157314358,0.3850094593001294
595,0.4793813871048768,0.39846836657413853
978,0.4971451886562816,0.4179242258152061
1361,0.5013486805654536,0.44099975141641695
1744,0.49170527040258954,0.4460572949790745
2128,0.4870628692830904,0.46658090204539454
