Metric,Baseline_HomeWin,Decision_Tree,Gain_vs_Baseline
Accuracy,0.41253644314868804,0.4970845481049563,0.08454810495626824
Macro-F1,0.19470244238046097,0.45073827696445407,0.2560358345839931
