Metric,Baseline_HomeWin,Decision_Tree,Gain_vs_Baseline
Accuracy,0.45921052631578946,0.4710526315789474,0.011842105263157932
Macro-F1,0.20979861737300873,0.455116275805931,0.24531765843292228
