Metric,Baseline_HomeWin,XGBoost,Gain_vs_Baseline
Accuracy,0.45921052631578946,0.5026315789473684,0.04342105263157897
Macro-F1,0.20979861737300873,0.4749932593343278,0.26519464196131903
