Metric,Baseline_HomeWin,Linear_Model,Gain_vs_Baseline
Accuracy,0.45588235294117646,0.6388888888888888,0.18300653594771238
Macro-F1,0.31313131313131315,0.6279369166398455,0.3148056035085324
