Model,Accuracy,Macro-F1,League,Experiment,Option,RMSE,R²,SplitDate,N_test
Linear Regression,0.3709150326797386,0.3127260598806503,bundesliga,linear_regression,A,0.770974381946816,0.17135827666882897,2022-07-01,612
Ridge Regression,0.369281045751634,0.30772352900043654,bundesliga,linear_regression,A,0.7716926102911476,0.16981365675600346,2022-07-01,612
Lasso Regression,0.36437908496732024,0.2996283146417195,bundesliga,linear_regression,A,0.7692852459695345,0.17498525905275375,2022-07-01,612
Elastic Net Regression,0.35784313725490197,0.2846042033695666,bundesliga,linear_regression,A,0.7697393494742902,0.17401097113664865,2022-07-01,612
