Model,Accuracy,Macro-F1,League,Experiment,Option,RMSE,R²,SplitDate,N_test
Linear Regression,0.48856209150326796,0.4630062941871029,bundesliga,linear_regression,GoalDiff Regression,1.820987651516864,0.2135204930634298,2022-07-01,612
Ridge Regression,0.4722222222222222,0.4475029281705032,bundesliga,linear_regression,GoalDiff Regression,1.8243398671219715,0.21062220260653786,2022-07-01,612
Lasso Regression,0.4820261437908497,0.46108131997266294,bundesliga,linear_regression,GoalDiff Regression,1.8217215486825642,0.21288642902510047,2022-07-01,612
Elastic Net Regression,0.4820261437908497,0.460599720373082,bundesliga,linear_regression,GoalDiff Regression,1.8205408914880685,0.21390635455426799,2022-07-01,612
