Metric,Baseline_HomeWin,Linear_Regression,Gain_vs_Baseline
Accuracy,0.45588235294117646,0.3709150326797386,-0.08496732026143788
Macro-F1,0.20875420875420878,0.3127260598806503,0.1039718511264415
