Model,Accuracy,Macro-F1,RMSE,R²
Linear Regression,0.6388888888888888,0.6279369166398455,0.46547906628860636,0.12651647814204992
Ridge Regression,0.6356209150326797,0.6181239734402588,0.46645712506660936,0.12284191647299092
Lasso Regression,0.6454248366013072,0.6338087976992415,0.46565138206756174,0.12586964839625636
Elastic Net Regression,0.6437908496732027,0.6314475138121547,0.4654258062993628,0.12671635420456762
