,precision,recall,f1-score,support,Model,League
NoHomeWin (A/D),0.6888361045130641,0.7055961070559611,0.6971153846153846,411.0,Logistic Regression (Binary),la_liga
HomeWin (H),0.6430678466076696,0.6246418338108882,0.6337209302325582,349.0,Logistic Regression (Binary),la_liga
accuracy,0.6684210526315789,0.6684210526315789,0.6684210526315789,0.6684210526315789,Logistic Regression (Binary),la_liga
macro avg,0.6659519755603669,0.6651189704334246,0.6654181574239714,760.0,Logistic Regression (Binary),la_liga
weighted avg,0.6678188387117711,0.6684210526315789,0.6680039838527445,760.0,Logistic Regression (Binary),la_liga
