Metric,Baseline_HomeWin,Logistic_Regression,Gain_vs_Baseline
Accuracy,0.45921052631578946,0.5013157894736842,0.0421052631578947
Macro-F1,0.20979861737300873,0.4885054137701421,0.27870679639713336
