,precision,recall,f1-score,support,Model,League
A,0.5081967213114754,0.5767441860465117,0.5403050108932462,215.0,Logistic Regression (Multinomial),la_liga
D,0.3070539419087137,0.37755102040816324,0.33867276887871856,196.0,Logistic Regression (Multinomial),la_liga
H,0.6654545454545454,0.5243553008595988,0.5865384615384616,349.0,Logistic Regression (Multinomial),la_liga
accuracy,0.5013157894736842,0.5013157894736842,0.5013157894736842,0.5013157894736842,Logistic Regression (Multinomial),la_liga
macro avg,0.49356840289157816,0.49288350243809126,0.4885054137701421,760.0,Logistic Regression (Multinomial),la_liga
weighted avg,0.5285375053417256,0.5013157894736842,0.5095360041042103,760.0,Logistic Regression (Multinomial),la_liga
