Metric,Baseline_HomeWin,Logistic_Regression,Gain_vs_Baseline
Accuracy,0.4723684210526316,0.5263157894736842,0.05394736842105258
Macro-F1,0.2138814417634793,0.495178218478371,0.2812967767148917
