,precision,recall,f1-score,support,Model,League
A,0.5454545454545454,0.6052631578947368,0.5738045738045738,228.0,Logistic Regression (Multinomial),serie_a
D,0.34080717488789236,0.3584905660377358,0.34942528735632183,212.0,Logistic Regression (Multinomial),serie_a
H,0.6197183098591549,0.55,0.5827814569536424,320.0,Logistic Regression (Multinomial),serie_a
accuracy,0.5131578947368421,0.5131578947368421,0.5131578947368421,0.5131578947368421,Logistic Regression (Multinomial),serie_a
macro avg,0.5019933434005309,0.5045845746441576,0.502003772704846,760.0,Logistic Regression (Multinomial),serie_a
weighted avg,0.5196376534142093,0.5131578947368421,0.5149943025949324,760.0,Logistic Regression (Multinomial),serie_a
