Metric,Baseline_HomeWin,Logistic_Regression,Gain_vs_Baseline
Accuracy,0.42105263157894735,0.5131578947368421,0.0921052631578948
Macro-F1,0.19753086419753085,0.502003772704846,0.3044729085073151
