Metric,Baseline_HomeWin,Logistic_Regression,Gain_vs_Baseline
Accuracy,0.41253644314868804,0.4970845481049563,0.08454810495626824
Macro-F1,0.19470244238046097,0.47413511381564116,0.2794326714351802
