,precision,recall,f1-score,support,Model,League
NoHomeWin (A/D),0.7185792349726776,0.652605459057072,0.6840052015604682,403.0,Logistic Regression (Binary),ligue_1
HomeWin (H),0.5625,0.6360424028268551,0.5970149253731343,283.0,Logistic Regression (Binary),ligue_1
accuracy,0.6457725947521866,0.6457725947521866,0.6457725947521866,0.6457725947521866,Logistic Regression (Binary),ligue_1
macro avg,0.6405396174863388,0.6443239309419635,0.6405100634668013,686.0,Logistic Regression (Binary),ligue_1
weighted avg,0.6541908625276809,0.6457725947521866,0.6481185424336234,686.0,Logistic Regression (Binary),ligue_1
