,precision,recall,f1-score,support,Model,League
A,0.532,0.5782608695652174,0.5541666666666667,230.0,Logistic Regression,ligue_1
D,0.2857142857142857,0.28901734104046245,0.28735632183908044,173.0,Logistic Regression,ligue_1
H,0.6053639846743295,0.558303886925795,0.5808823529411765,283.0,Logistic Regression,ligue_1
accuracy,0.4970845481049563,0.4970845481049563,0.4970845481049563,0.4970845481049563,Logistic Regression,ligue_1
macro avg,0.4743594234628718,0.4751940325104916,0.47413511381564116,686.0,Logistic Regression,ligue_1
weighted avg,0.5001553631070068,0.4970845481049563,0.497901870107649,686.0,Logistic Regression,ligue_1
