,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,Month,Weekday,IsWeekend,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,FormDiff_RecentFormIdx
Prob_H_b365,1.0,-0.41818327502756286,-0.9647248824218427,-0.015031919927711456,-0.9202310135544868,0.9987168050647087,-0.41969351903817925,-0.9638608372677653,0.13356952949718365,-0.8994101551254409,-0.5104400608519772,0.40591842771511993,0.5174255174547534,0.4591185208103542,-0.28555402492951404,0.47776058475251737,0.4448725155660088,0.43272258369068956,0.23396343827025534,-0.20590585358010588,0.374579197608387,0.4032422309281659,0.5182723676562067,0.5537049666818904,-0.44251357064703395,0.27898013035511887,-0.46374250405329615,-0.42104565963859464,-0.40646192380776075,-0.222242031160614,0.18844455789240552,-0.3450595736282135,-0.39107297942862856,-0.498428707614555,-0.535379451292117,0.6396679771299321,-0.40750561989294815,0.6666464647532447,0.6097215938176135,0.5971518099306303,0.3234542397066471,-0.29095638670952567,0.5054559196950527,0.5592525893819622,0.7273791915427656,0.7853988652805814,0.025400102647381583,0.008529807233732927,0.016625116421832606,0.018812795326427746,0.7026413149276937,0.769960620690118,0.49116902381985744,0.4515390942769116,-0.47381343845801227,-0.44004352718133183,0.6800314098352263,0.6324416176277586,0.565606029482662
Prob_D_b365,-0.41818327502756286,1.0,0.16429612609532063,-0.09074094965469731,0.440679691047333,-0.41644056666835516,0.9862541150453245,0.16366416002497927,-0.3559922061849294,0.4472700805470715,-0.30196089033585627,-0.7363522050925426,-0.5973005431561712,-0.43267768160978076,0.19197533983269766,-0.40337163774629065,-0.35994862367720754,-0.3621519653651094,-0.15845544192610378,0.13146094647563794,-0.28755135201090365,-0.3274819009004489,-0.44572225946376626,-0.48335860798643854,-0.12275430482807595,-0.013210817388299434,-0.07518497905762099,-0.04813448431493826,-0.06543071376333688,-0.026377698092766154,0.02004153683755802,-0.030760400690892916,-0.06503049729596377,-0.05111973117385495,-0.07587378907358656,-0.21457138279124563,0.14975762781552743,-0.2313042281608201,-0.21951157215990286,-0.2096153156876224,-0.09178871169254216,0.0807597761161101,-0.17980179119930878,-0.18511836683072544,-0.2841060239572619,-0.2955727088223269,0.013927134421622677,-0.00990860565319739,0.026444137724883833,0.01778616434689258,-0.2471195588768084,-0.25840053900694787,-0.45339218482574123,-0.3742437404656533,-0.12771331054140217,-0.044158271534757,-0.2161166357513765,-0.23371478062449907,-0.20217228541123689
Prob_A_b365,-0.9647248824218427,0.16429612609532063,1.0,0.04262188251413649,0.8715821073801724,-0.9633203076744217,0.17026214127056,0.9985824931860051,-0.04201096677333223,0.8466471827909692,0.646718268418024,-0.2237913715839385,-0.3868120934319366,-0.3731787909454454,0.25443627847487726,-0.40190353194379874,-0.3787703125970737,-0.36494472473384826,-0.20814276838729764,0.18549791756242812,-0.32341611146247995,-0.342973496327624,-0.4336241968885926,-0.4611954585017524,0.5160025416467499,-0.2990655470735713,0.5252711391318764,0.4710785815218401,0.4603489866394372,0.24898226311516528,-0.21044450592402728,0.38354652202088657,0.443431297956027,0.555959165537644,0.6032478698007974,-0.6323497826224002,0.3990614296599887,-0.6567951896095789,-0.5984073957282556,-0.5877099627331885,-0.3246440427822458,0.2925502950117885,-0.4967053854658378,-0.55357192633138,-0.7074440673594791,-0.7671148389416098,-0.0316085064668459,-0.006391010400993003,-0.025717576023124397,-0.025583985537222704,-0.6905183689499103,-0.7602484747146583,-0.40197776503605737,-0.3818690600325599,0.5514217591732512,0.4905529871737769,-0.6757240462261686,-0.6189618704864203,-0.5555322377994498
Margin_B365,-0.015031919927711456,-0.09074094965469731,0.04262188251413649,1.0,0.03916634892361416,-0.013830744642932987,-0.083848412437574,0.03967886329217019,0.10641100836943575,0.033376495012426566,0.06321276587877997,-0.016956527752464156,-0.05431963184773168,0.05252604998594558,0.006617239559016899,0.030784221815333388,0.019716508322110242,-0.005187300836793988,-0.034195137511331214,-0.0477470419108749,0.014706197053068562,0.019735073577578092,0.009586360032934907,0.0317317267167506,0.02694472688463547,0.026416043708847578,0.0026275847243186347,0.003751675405981609,-0.0258848987902359,-0.04260767572400806,-0.03238418478865642,0.009763073160036058,0.005788188395418844,0.010955415658723702,0.011609742413859564,0.016646692095317193,-0.01399499538323101,0.01934266062480938,0.010732958119332402,0.01484393603604619,0.006752308708140913,-0.010550638496227558,0.002604380087621126,0.00908851313214711,-0.0010865834848965855,0.014396274810027677,0.004508053130156448,0.05679071669225867,0.01479648996432653,-0.028967511923576664,-0.013192550751982666,-0.000977576545134069,0.03623700118168792,0.027214131651812332,0.022171715582049514,-0.0012183300060549858,0.007978144847322332,0.019584100965171984,0.005735584022688649
OddsDiff_B365,-0.9202310135544868,0.440679691047333,0.8715821073801724,0.03916634892361416,1.0,-0.9212701316286988,0.441976536381952,0.8730154539421329,-0.10138436656541032,0.98757952039637,0.5517885573332856,-0.5856736291132183,-0.7248241828799012,-0.4387261670681726,0.2790246152162802,-0.4602799506430248,-0.42806234163631296,-0.4189461236842645,-0.2441932696354974,0.2164991351530415,-0.36789140033084333,-0.3929708183655612,-0.508633297570706,-0.5427156001343428,0.39634551570981563,-0.2275239060160936,0.402172224781178,0.36261577025882896,0.3524206823319929,0.18769890398532912,-0.162755752064993,0.30067031505362496,0.3425013961251482,0.4385280704375413,0.473335241938084,-0.5919653733595053,0.3656286423550388,-0.6101754980477785,-0.5564474870852394,-0.548738926884361,-0.3057515515186345,0.2794539933120026,-0.46926235722217513,-0.5174711803000406,-0.677619996526322,-0.7326411008604536,-0.021475891647162678,-0.010535730057718337,0.004258981244592196,-0.009757513029055566,-0.6639479810788819,-0.7311919833430632,-0.49345654366615227,-0.4333829353297799,0.4251896770330946,0.3764794498916161,-0.6458495050694535,-0.5740834556065394,-0.5215321927359804
Prob_H_ps,0.9987168050647087,-0.41644056666835516,-0.9633203076744217,-0.013830744642932987,-0.9212701316286988,1.0,-0.42403328477949187,-0.9639831386014373,0.13007590198771907,-0.9018897619096424,-0.5100065046869681,0.4245377055272228,0.546697469100432,0.4588360027787035,-0.2852195822015736,0.4774753012330527,0.44459424569873207,0.4323727695793158,0.23328933711380323,-0.20651053705522604,0.3745543281098326,0.4032676725538952,0.5181328201259117,0.5530090803422224,-0.44150897774546305,0.27978606083355245,-0.4634212666364235,-0.4201952059783955,-0.4059556376334552,-0.22333685034370843,0.18797950208299738,-0.3451290313054776,-0.39143070096407095,-0.49729335015313436,-0.5337055263861139,0.6389704864506612,-0.4077231518295956,0.666309293608959,0.609028017158172,0.5966215165238564,0.32373434853133576,-0.29102552419644806,0.5055184934338977,0.5595285484889829,0.7270396250991719,0.7845685525672156,0.02669199429475699,0.008058079338436028,0.017619206197648014,0.020627090974374797,0.7018015902329056,0.7683106807571711,0.4912158902199555,0.4520148135153815,-0.4734147274421552,-0.44020894007279565,0.6800238928164754,0.6331170606559501,0.5653886683841493
Prob_D_ps,-0.41969351903817925,0.9862541150453245,0.17026214127056,-0.083848412437574,0.441976536381952,-0.42403328477949187,1.0,0.16789212328851116,-0.34338862049642194,0.4520338141064607,-0.3032815282171973,-0.7840554695491114,-0.6199495111274117,-0.43748753926718625,0.18820079233782885,-0.4043557031357413,-0.36170248484639195,-0.3637792452262183,-0.15534618375740797,0.1290278801322756,-0.29045402627555683,-0.3280778847352957,-0.44816796736777714,-0.4836222761925621,-0.12681822990265298,-0.017418220947368803,-0.07541763884525086,-0.04930283994663198,-0.06667256789006733,-0.02182275693869151,0.016725900892315904,-0.030708507317075848,-0.0635836056794192,-0.053544002339630116,-0.07832118888246375,-0.21510500405418714,0.15002884373874323,-0.23182357500864167,-0.2199596053284252,-0.20989496059380722,-0.09288048994139905,0.08146049467858536,-0.18192355414543626,-0.18661561864381643,-0.28430655091643575,-0.29415857795267397,0.010888742955976602,-0.016331498452967882,0.01964377258490761,0.008222266069916936,-0.2468464720928449,-0.2584034385013792,-0.4569248833455596,-0.37598930566027017,-0.12822410284433677,-0.04513115834618224,-0.2181302435208484,-0.23432002141318972,-0.20376124078374053
Prob_A_ps,-0.9638608372677653,0.16366416002497927,0.9985824931860051,0.03967886329217019,0.8730154539421329,-0.9639831386014373,0.16789212328851116,1.0,-0.04074517799009989,0.8489661836638404,0.6492865172361327,-0.22853851415206564,-0.4115849784491367,-0.37098317222402016,0.25517913143957616,-0.4009879126837558,-0.3777183707684501,-0.3638101746804323,-0.20831689558655755,0.1868968621571225,-0.32239955112105445,-0.3426090518773451,-0.43238024715276363,-0.4599331267686357,0.5177416754305372,-0.2993885047094778,0.526499870130638,0.4717886867067505,0.4614666547040641,0.24951313204333223,-0.20952949972152252,0.38463247491567326,0.4446756006645054,0.5569426739810116,0.6038453567013911,-0.6322815169745654,0.3997080667103881,-0.6571293691530327,-0.5982710683753583,-0.5877881341908244,-0.3251116403067733,0.2928614951290514,-0.4967810710445025,-0.5541833822717782,-0.7078246272831338,-0.7675427004513111,-0.0322432450468572,-0.003975190435857755,-0.024947514592274664,-0.02486744664516195,-0.690446501782862,-0.7593348730673631,-0.400518431819451,-0.3816024022189278,0.5528786651350194,0.4923457183970731,-0.6760721839327966,-0.62027404584252,-0.5555308095102259
Margin_PS,0.13356952949718365,-0.3559922061849294,-0.04201096677333223,0.10641100836943575,-0.10138436656541032,0.13007590198771907,-0.34338862049642194,-0.04074517799009989,1.0,-0.09001227593747312,-0.010625849108421367,-0.02716381264176881,0.013267602190649026,0.18297813914561206,0.021751787066146822,0.1080553440516465,0.09449518074140827,0.10622793086995692,-0.0224965978933763,0.06353274190429399,0.09105935272847825,0.09951610082048522,0.10864434923464442,0.12709153629357473,0.08017280270924401,0.08475326081548862,0.004168624247664757,-0.012183939424609434,-0.0010961321192365224,-0.060188641397846854,0.0935696388685222,-0.01847678863441469,-0.0007103301957515852,-0.00935622144132351,-0.002726594608275381,0.0711455020044248,-0.04440971238143205,0.07360826983265831,0.07507678163657674,0.0760058729038831,0.027577274198031985,-0.023724723860157983,0.07658512380651243,0.07056217239577595,0.08469651748346789,0.09388007441487431,0.027057385561692283,-0.12462867620536822,0.07845919247118986,0.08634641785000116,0.0839599141379245,0.08446699881005335,0.13055528157056198,0.08613432700441669,0.03643950907852362,-0.004768183206875385,0.06262376055372774,0.06477547011275452,0.07926783574245717
OddsDiff_PS,-0.8994101551254409,0.4472700805470715,0.8466471827909692,0.033376495012426566,0.98757952039637,-0.9018897619096424,0.4520338141064607,0.8489661836638404,-0.09001227593747312,1.0,0.5426758824279235,-0.6211401357743793,-0.7867323551519175,-0.4273784180851958,0.2762430189150758,-0.45116931438334,-0.4189725246170934,-0.4100176587373478,-0.24480260337962553,0.21903075551595835,-0.36164790750778797,-0.3881340628965731,-0.501477576038377,-0.5344689137922317,0.3834779139324934,-0.2197510680335792,0.38878584850432446,0.3500733849248875,0.3399407073159026,0.18146260798361458,-0.15562237813360955,0.2907233492378316,0.331454241894606,0.4238281024923726,0.4559066341173121,-0.5749603972542485,0.35791755581700696,-0.5942875314839291,-0.541289275701406,-0.5335593820312676,-0.3016560970107881,0.27593884169677524,-0.4578697457119952,-0.506251094277429,-0.6625159226380086,-0.7149144095728235,-0.0205542982851121,-0.007572632268108988,0.004896316872695208,-0.008153641966003716,-0.6480274080854659,-0.7124988818914035,-0.48474415328588993,-0.4270727927070995,0.41154859906190694,0.36451872391049905,-0.6301787528438706,-0.5612900120954099,-0.5082569487153981
