Metric,Baseline_HomeWin,Decision_Tree,Gain_vs_Baseline
Accuracy,0.4723684210526316,0.5184210526315789,0.04605263157894729
Macro-F1,0.2138814417634793,0.49576032652366825,0.28187888476018896
