Metric,Baseline_HomeWin,Random_Forest,Gain_vs_Baseline
Accuracy,0.44438233650083847,0.5064281721632197,0.0620458356623812
Macro-F1,0.20510835913312694,0.48851824798512616,0.28340988885199925
