Metric,Baseline_HomeWin,XGBoost,Gain_vs_Baseline
Accuracy,0.42105263157894735,0.5013157894736842,0.08026315789473681
Macro-F1,0.19753086419753085,0.4894265120680865,0.29189564787055566
