Metric,Baseline_HomeWin,Random_Forest,Gain_vs_Baseline
Accuracy,0.45921052631578946,0.5197368421052632,0.060526315789473706
Macro-F1,0.20979861737300873,0.4981487524201092,0.2883501350471005
