Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
D1,2014-09-19,Freiburg,Hertha,2,2,D,15,7,5,2,16,26,7,6,0,4,0,1,2.5,3.3,2.8,2.56,3.41,2.97,2.63,3.45,3.0,2.51,3.31,2.84,47.0,2014/2015
D1,2014-09-20,Augsburg,Werder Bremen,4,2,H,19,13,7,6,13,20,6,5,1,4,0,0,1.91,3.6,3.8,1.86,3.84,4.48,2.01,3.85,4.48,1.87,3.63,4.12,47.0,2014/2015
D1,2014-09-20,Mainz,Dortmund,2,0,H,8,20,5,4,17,18,1,7,2,1,0,0,5.0,4.33,1.57,5.65,4.3,1.64,6.0,4.4,1.65,5.42,4.08,1.6,47.0,2014/2015
D1,2014-09-20,Hamburg,Bayern Munich,0,0,D,4,15,0,3,22,11,3,9,4,2,0,0,10.0,6.0,1.25,11.8,6.25,1.29,12.5,6.5,1.34,10.65,5.83,1.27,47.0,2014/2015
D1,2014-09-20,Stuttgart,Hoffenheim,0,2,A,17,10,2,4,17,21,9,4,0,2,0,0,2.5,3.4,2.7,2.63,3.62,2.75,2.71,3.65,2.88,2.58,3.4,2.68,47.0,2014/2015
D1,2014-09-20,Schalke 04,Ein Frankfurt,2,2,D,8,15,3,4,15,15,1,3,1,2,2,1,1.73,3.8,4.5,1.75,4.07,4.91,1.81,4.2,5.2,1.74,3.84,4.59,47.0,2014/2015
D1,2014-09-20,Paderborn,Hannover,2,0,H,17,14,4,2,11,13,7,5,1,0,0,0,2.8,3.25,2.5,3.0,3.51,2.49,3.1,3.51,2.51,2.89,3.35,2.44,47.0,2014/2015
D1,2014-09-21,FC Koln,M'gladbach,0,0,D,10,9,7,1,15,13,4,3,2,2,0,0,2.75,3.3,2.5,2.97,3.41,2.56,3.0,3.45,2.6,2.83,3.27,2.51,44.0,2014/2015
D1,2014-09-21,Wolfsburg,Leverkusen,4,1,H,17,12,9,1,9,12,8,3,1,1,0,1,2.8,3.5,2.4,2.9,3.68,2.48,3.0,3.75,2.55,2.76,3.52,2.45,45.0,2014/2015
D1,2014-09-23,Ein Frankfurt,Mainz,2,2,D,16,5,8,5,16,24,9,3,3,3,0,0,2.38,3.3,2.9,2.33,3.58,3.21,2.53,3.53,3.2,2.4,3.35,2.96,44.0,2014/2015
D1,2014-09-23,Hoffenheim,Freiburg,3,3,D,18,6,8,4,20,14,4,3,3,3,0,1,1.62,4.0,5.25,1.71,4.18,5.07,1.75,4.33,5.4,1.67,3.93,5.02,44.0,2014/2015
D1,2014-09-23,Bayern Munich,Paderborn,4,0,H,25,6,9,2,8,7,9,3,0,0,0,0,1.11,9.0,21.0,1.14,10.33,23.41,1.15,10.5,30.0,1.12,8.89,22.6,44.0,2014/2015
