Drużyna,Łączna liczba punktów
Bayern Munich,709
Dortmund,586
Leverkusen,531
RB Leipzig,440
M'gladbach,439
Wolfsburg,428
Ein Frankfurt,423
Hoffenheim,420
Mainz,372
Freiburg,355
Augsburg,345
Stuttgart,332
Werder Bremen,330
Hertha,317
FC Koln,308
Schalke 04,286
Union Berlin,202
Hamburg,145
Hannover,122
Bochum,110
Darmstadt,80
Ingolstadt,72
Bielefeld,63
Fortuna Dusseldorf,44
Heidenheim,42
Paderborn,31
Nurnberg,19
Greuther Furth,18
