Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx,Market_ImpliedDiff_b365,Market_ImpliedDiff_ps,Market_BigHomeFav,Market_BigAwayFav,Market_BalancedMatch
D1,2014-08-30,Hamburg,Paderborn,0,3,A,13,15,4,7,16,16,8,3,0,0,0,0,1.67,3.8,5.0,1.76,3.96,5.04,1.79,4.0,5.25,1.73,3.75,4.79,49.0,2014/2015,-2,-3,5,0,0,-3,3,0.5638651471984806,0.24780389363722696,0.18833095916429252,0.061960289946422886,-3.33,0.5575221238938054,0.24778761061946905,0.19469026548672566,0.019119769119769092,-3.2800000000000002,0.06000000000000005,0.25,0.45999999999999996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,8,5,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4998750312421894,-0.6666666666666666,-0.4998750312421894,1.0,1.0,0.0,0.37553418803418803,0.36283185840707977,0,0,0
D1,2014-08-30,Leverkusen,Hertha,4,2,H,21,3,7,1,11,20,5,6,0,1,0,0,1.44,4.5,6.5,1.45,4.86,8.15,1.5,4.92,8.4,1.44,4.46,7.32,49.0,2014/2015,18,6,-1,-9,-1,2,6,0.6487025948103793,0.20758483033932135,0.14371257485029942,0.07051282051282048,-5.0600000000000005,0.6773837721360959,0.20210009662496686,0.1205161312389373,0.018115875789288527,-6.7,0.06000000000000005,0.45999999999999996,1.08,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,2.0,2.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,0.0,1,8,5,1,3.0,2.0,1.0,0.0,2.0,2.0,2.0,0.9995002498750625,0.6666666666666666,0.4998750312421894,1.3333333333333335,0.49962521863287307,3.0,1.0,2.0,0.5049900199600799,0.5568676408971586,1,0,0
D1,2014-08-30,Schalke 04,Bayern Munich,1,1,D,8,10,4,4,15,15,1,3,4,1,0,0,6.0,4.75,1.44,7.07,4.77,1.5,7.7,4.9,1.55,6.58,4.49,1.47,49.0,2014/2015,-2,0,-2,0,3,0,2,0.15552523874488405,0.1964529331514325,0.6480218281036836,0.07163742690058461,4.5600000000000005,0.13897548554013975,0.20598672594733503,0.6550377885125253,0.017752988236829026,5.57,1.12,0.41000000000000014,0.08000000000000007,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,-1.0,1.0,-2.0,-3.0,-1.0,0.0,0.0,-3.0,-2.0,-3.0,-2.0,0.0,1,8,5,1,0.0,-1.0,3.0,1.0,-3.0,-2.0,0.3333333333333333,0.33322225924691773,1.0,0.6664445184938355,-0.6666666666666667,-0.33322225924691773,0.0,3.0,-3.0,-0.49249658935879953,-0.5160623029723855,0,1,0
D1,2014-08-30,Stuttgart,FC Koln,0,2,A,14,10,5,4,11,11,7,4,1,2,0,0,2.0,3.5,3.6,1.98,3.65,4.14,2.1,3.7,4.25,1.98,3.46,3.85,49.0,2014/2015,4,1,3,0,-1,-2,2,0.4701492537313433,0.26865671641791045,0.2611940298507463,0.06349206349206349,-1.6,0.49487149257250646,0.2684508370667295,0.23667767036076398,0.020569001510037932,-2.1599999999999997,0.1200000000000001,0.2400000000000002,0.3999999999999999,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,8,5,1,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.49975012493753124,0.0,0.0,0.5,0.49975012493753124,1.0,1.0,0.0,0.208955223880597,0.2581938222117425,0,0,0
D1,2014-08-30,Werder Bremen,Hoffenheim,1,1,D,15,12,1,1,20,13,6,6,3,0,0,0,3.2,3.5,2.15,3.35,3.74,2.2,3.35,3.8,2.3,3.23,3.53,2.16,49.0,2014/2015,3,0,0,7,3,0,2,0.2938879125170865,0.2686975200156219,0.4374145674672915,0.06333056478405319,1.0500000000000003,0.29253030895580756,0.262025811497849,0.44544387954634335,0.02043259637640671,1.15,0.1200000000000001,0.27,0.13999999999999968,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,-2.0,-2.0,-1.0,-1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,1,8,5,1,1.0,0.0,3.0,2.0,-2.0,-2.0,0.6666666666666666,0.4998750312421894,2.0,0.9995002498750625,-1.3333333333333335,-0.49962521863287307,1.0,3.0,-2.0,-0.143526654950205,-0.15291357059053579,0,0,0
D1,2014-08-30,Wolfsburg,Ein Frankfurt,2,2,D,14,9,11,4,19,11,4,3,3,1,0,0,1.57,4.33,5.0,1.62,4.34,5.84,1.75,4.34,5.9,1.62,4.01,5.37,49.0,2014/2015,5,7,1,8,2,0,4,0.5964499519258584,0.21626476316942211,0.18728528490471957,0.06788955737632563,-3.4299999999999997,0.6058149206925894,0.22613368007419235,0.16805139923321827,0.018931573873391505,-4.22,0.1299999999999999,0.33000000000000007,0.5300000000000002,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,-2.0,-3.0,-1.0,-1.0,1.0,-3.0,-2.0,-3.0,-2.0,0.0,1,8,5,1,0.0,-1.0,3.0,1.0,-3.0,-2.0,0.3333333333333333,0.33322225924691773,1.0,0.9990009990009991,-0.6666666666666667,-0.6657787397540814,0.0,3.0,-3.0,0.4091646670211388,0.4377635214593711,0,0,0
D1,2014-08-31,Freiburg,M'gladbach,0,0,D,17,9,4,3,11,13,4,5,1,2,0,0,2.88,3.4,2.38,3.06,3.55,2.43,3.2,3.6,2.44,2.99,3.35,2.33,48.0,2014/2015,8,1,-1,-2,-1,0,0,0.32710280373831774,0.27707531610775155,0.3958218801539307,0.06150793650793651,0.5,0.3203864023799178,0.27616405388240806,0.4034495437376742,0.020010160210841343,0.6299999999999999,0.20999999999999996,0.25,0.10999999999999988,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1,8,6,1,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.5,0.49975012493753124,-0.5,-0.49975012493753124,0.0,1.0,-1.0,-0.06871907641561298,-0.08306314135775644,0,0,0
D1,2014-08-31,Mainz,Hannover,0,0,D,14,11,2,6,12,14,4,2,0,1,0,0,2.2,3.3,3.3,2.18,3.61,3.52,2.3,3.65,3.6,2.14,3.44,3.31,49.0,2014/2015,3,-4,2,-2,-1,0,0,0.4285714285714286,0.28571428571428575,0.28571428571428575,0.06060606060606055,-1.0999999999999996,0.44980283604596005,0.2716260893573942,0.27857107459664576,0.019814815670491814,-1.3399999999999999,0.1599999999999997,0.20999999999999996,0.29000000000000004,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,-1.0,-2.0,-1.0,0.0,0.0,-2.0,-1.0,-2.0,-1.0,0.0,1,8,6,1,1.0,0.0,3.0,1.0,-2.0,-1.0,0.6666666666666666,0.4998750312421894,1.0,0.6664445184938355,-0.33333333333333337,-0.16656948725164605,1.0,3.0,-2.0,0.14285714285714285,0.1712317614493143,0,0,1
D1,2014-09-12,Leverkusen,Werder Bremen,3,3,D,26,8,9,5,14,20,6,4,4,2,0,0,1.3,5.5,9.0,1.37,5.47,9.29,1.4,5.7,10.0,1.34,5.24,8.82,45.0,2014/2015,18,4,2,-6,2,0,6,0.7242136064374541,0.1711777615215801,0.10460863204096561,0.0621600621600622,-7.7,0.7153447122998415,0.1791631180714411,0.10549216962871723,0.020384990269301406,-7.919999999999999,0.05999999999999983,0.45999999999999996,1.1799999999999997,3.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,1.5,1.5,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.5,-0.5,2.0,2.0,2.0,1.0,-1.0,2.0,2.0,2.0,2.0,0.0,1,9,4,0,3.0,2.0,1.0,0.0,2.0,2.0,1.5,0.7498125468632841,0.6,0.49983338887037654,0.9,0.2499791579929076,3.0,1.0,2.0,0.6196049743964885,0.6098525426711243,1,0,0
D1,2014-09-13,Bayern Munich,Stuttgart,2,0,H,14,7,8,0,16,18,2,4,1,2,0,0,1.17,7.5,15.0,1.17,8.95,19.5,1.22,9.23,20.61,1.16,7.87,15.72,45.0,2014/2015,7,8,-2,-2,-1,2,2,0.8103727714748785,0.12641815235008103,0.06320907617504051,0.05470085470085473,-13.83,0.8398235901285541,0.10978699446373276,0.05038941540771324,0.01771474955832497,-18.33,0.06000000000000005,1.3600000000000003,4.889999999999999,1.5,1.0,0.5,2.0,1.0,0.0,2.0,2.0,0.5,2.0,0.5,0.0,0.5,1.5,-1.0,0.5,0.0,0.0,2.0,0.5,-1.0,0.5,-1.0,0.0,1.0,-0.5,1.5,1.5,1.0,0.0,0.0,1.5,1.5,1.5,1.5,0.0,1,9,5,1,2.0,0.5,0.5,-1.0,1.5,1.5,0.75,0.5997600959616154,0.2,0.24987506246876562,0.55,0.3498850334928498,2.0,0.5,1.5,0.747163695299838,0.7894341747208409,1,0,0
