Drużyna,Łączna liczba punktów
Paris Saint-Germain,779
Monaco,626
Lyon,610
Marseille,571
Lille,539
Nice,531
Rennes,500
Montpellier,443
Nantes,408
Saint-Etienne,376
Bordeaux,344
Reims,324
Toulouse,292
Lorient,287
Angers,286
Lens,283
Strasbourg,271
Guingamp,217
Caen,208
Metz,206
Brest,194
Dijon,140
Bastia,131
Clermont,120
Troyes,113
Nîmes,88
Amiens,83
Ajaccio GFCO,37
Evian Thonon Gaillard,37
Nancy,35
Auxerre,35
Le Havre,32
Ajaccio,26
