Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
F1,2014-08-23,Guingamp,Marseille,0.0,1.0,A,4.0,16.0,2.0,3.0,16.0,14.0,4.0,6.0,1.0,3.0,0.0,0.0,2.9,3.1,2.5,3.03,3.2,2.61,3.3,3.3,2.64,2.96,3.12,2.5,50.0,2014/2015
F1,2014-08-23,Lille,Lorient,2.0,0.0,H,13.0,7.0,6.0,1.0,12.0,8.0,2.0,3.0,0.0,1.0,0.0,0.0,1.75,3.4,5.0,1.79,3.55,5.44,1.85,3.65,5.7,1.77,3.39,5.01,50.0,2014/2015
F1,2014-08-23,Montpellier,Metz,2.0,0.0,H,12.0,12.0,5.0,3.0,13.0,19.0,5.0,5.0,0.0,2.0,0.0,0.0,1.85,3.5,4.2,1.92,3.37,4.82,1.96,3.52,5.2,1.87,3.32,4.49,50.0,2014/2015
F1,2014-08-23,Nice,Bordeaux,1.0,3.0,A,11.0,12.0,2.0,7.0,12.0,21.0,7.0,1.0,2.0,4.0,0.0,1.0,3.2,3.2,2.3,3.37,3.21,2.4,3.45,3.3,2.6,3.18,3.14,2.35,50.0,2014/2015
F1,2014-08-23,Reims,Caen,0.0,2.0,A,12.0,16.0,4.0,6.0,4.0,12.0,5.0,3.0,1.0,0.0,0.0,0.0,2.38,3.25,3.0,2.47,3.29,3.17,2.56,3.35,3.17,2.41,3.18,3.02,50.0,2014/2015
F1,2014-08-24,Lyon,Lens,0.0,1.0,A,16.0,7.0,4.0,2.0,19.0,17.0,5.0,1.0,1.0,3.0,0.0,0.0,1.44,4.33,7.0,1.53,4.09,7.74,1.55,4.4,8.0,1.51,3.99,6.89,50.0,2014/2015
F1,2014-08-24,Nantes,Monaco,0.0,1.0,A,15.0,6.0,5.0,2.0,12.0,10.0,5.0,9.0,0.0,2.0,0.0,0.0,3.5,3.3,2.1,3.74,3.23,2.23,3.75,3.32,2.3,3.43,3.19,2.2,49.0,2014/2015
F1,2014-08-24,Saint-Etienne,Rennes,0.0,0.0,D,11.0,5.0,2.0,0.0,14.0,21.0,8.0,3.0,2.0,3.0,0.0,0.0,1.73,3.3,5.5,1.72,3.59,6.01,1.8,3.7,6.01,1.72,3.45,5.24,50.0,2014/2015
F1,2014-08-29,Marseille,Nice,4.0,0.0,H,20.0,8.0,8.0,3.0,12.0,16.0,11.0,4.0,1.0,2.0,0.0,0.0,1.5,4.0,7.0,1.55,4.12,7.65,1.55,4.2,8.0,1.51,3.96,6.95,50.0,2014/2015
F1,2014-08-30,Caen,Rennes,0.0,1.0,A,13.0,10.0,4.0,1.0,8.0,19.0,6.0,1.0,0.0,2.0,1.0,0.0,2.63,3.1,2.75,2.72,3.16,2.93,2.8,3.2,2.96,2.65,3.08,2.79,48.0,2014/2015
F1,2014-08-30,Lens,Reims,4.0,2.0,H,17.0,10.0,6.0,2.0,14.0,14.0,4.0,7.0,2.0,2.0,0.0,1.0,2.1,3.2,3.6,2.18,3.27,3.84,2.21,3.4,4.0,2.11,3.23,3.61,50.0,2014/2015
F1,2014-08-30,Lorient,Guingamp,4.0,0.0,H,11.0,8.0,6.0,2.0,7.0,9.0,7.0,8.0,2.0,1.0,0.0,0.0,2.1,3.2,3.6,2.17,3.13,4.1,2.21,3.3,4.1,2.12,3.14,3.69,50.0,2014/2015
