,missing,missing_%
AC,2,0.06
AF,2,0.06
AR,2,0.06
AS,2,0.06
AST,2,0.06
AY,2,0.06
AwayTeam,1,0.03
B365A,4,0.12
B365D,4,0.12
B365H,4,0.12
Bb1X2,1447,43.23
BbAvA,1447,43.23
BbAvD,1447,43.23
BbAvH,1447,43.23
BbMxA,1447,43.23
BbMxD,1447,43.23
BbMxH,1447,43.23
Date,1,0.03
Div,1,0.03
FTAG,1,0.03
FTHG,1,0.03
FTR,1,0.03
HC,2,0.06
HF,2,0.06
HR,2,0.06
HS,2,0.06
HST,2,0.06
HY,2,0.06
HomeTeam,1,0.03
PSA,9,0.27
PSD,9,0.27
PSH,9,0.27
Season,0,0.0
SourceFile,0,0.0
