Metric,Baseline_HomeWin,Linear_Regression,Gain_vs_Baseline
Accuracy,0.41253644314868804,0.35276967930029157,-0.059766763848396465
Macro-F1,0.19470244238046097,0.31670226978014265,0.12199982739968168
