Model,Accuracy,Macro-F1,RMSE,R²
Linear Regression,0.6632653061224489,0.6441485240784612,0.46023602602173314,0.12598683999262805
Ridge Regression,0.6705539358600583,0.6461948534445774,0.4554843556566546,0.1439410348929323
Lasso Regression,0.6778425655976676,0.6585658079351031,0.4549735685457884,0.145859953524899
Elastic Net Regression,0.6778425655976676,0.6585658079351031,0.4549735685457884,0.145859953524899
