Class,precision,recall,f1-score,support,Model,League,Experiment,Option,SplitDate
A,0.5785123966942148,0.30434782608695654,0.39886039886039887,230.0,Linear Regression,ligue_1,linear_regression,B,2022-07-01
D,0.2646048109965636,0.44508670520231214,0.33189655172413796,173.0,Linear Regression,ligue_1,linear_regression,B,2022-07-01
H,0.5875912408759124,0.568904593639576,0.578096947935368,283.0,Linear Regression,ligue_1,linear_regression,B,2022-07-01
accuracy,0.4489795918367347,0.4489795918367347,0.4489795918367347,0.4489795918367347,Linear Regression,ligue_1,linear_regression,B,2022-07-01
macro avg,0.476902816188897,0.4394463749762816,0.43628463283996827,686.0,Linear Regression,ligue_1,linear_regression,B,2022-07-01
weighted avg,0.5030944675072276,0.4489795918367347,0.45591462310769204,686.0,Linear Regression,ligue_1,linear_regression,B,2022-07-01
