Metric,Baseline_HomeWin,Linear_Model,Gain_vs_Baseline
Accuracy,0.41253644314868804,0.6632653061224489,0.2507288629737609
Macro-F1,0.29205366357069146,0.6441485240784612,0.3520948605077698
