Model,Accuracy,Macro-F1,League,Experiment,Option,RMSE,R²,SplitDate,N_test
Linear Regression,0.35276967930029157,0.31670226978014265,ligue_1,linear_regression,A,0.8086343214483401,0.11856249177473643,2022-07-01,686
Ridge Regression,0.3454810495626822,0.3067417969937333,ligue_1,linear_regression,A,0.7875957956866237,0.16383118847120492,2022-07-01,686
Lasso Regression,0.3323615160349854,0.2823568129108926,ligue_1,linear_regression,A,0.7868253343704946,0.16546634349999478,2022-07-01,686
Elastic Net Regression,0.33090379008746357,0.2806906654945241,ligue_1,linear_regression,A,0.786890214462563,0.1653287097700351,2022-07-01,686
