Model,Accuracy,Macro-F1,League,Experiment,Option,RMSE,R²,SplitDate,N_test
Linear Regression,0.4489795918367347,0.43628463283996827,ligue_1,linear_regression,GoalDiff Regression,1.6059397578877457,0.15194917710392575,2022-07-01,686
Ridge Regression,0.4446064139941691,0.4335414020885093,ligue_1,linear_regression,GoalDiff Regression,1.558503869200054,0.20130833987560426,2022-07-01,686
Lasso Regression,0.43731778425655976,0.4236565122641072,ligue_1,linear_regression,GoalDiff Regression,1.554830170146928,0.20506924758571188,2022-07-01,686
Elastic Net Regression,0.44314868804664725,0.4313875290876021,ligue_1,linear_regression,GoalDiff Regression,1.554638473311671,0.20526525139179375,2022-07-01,686
