Class,precision,recall,f1-score,support,Model,League,Experiment,Option,SplitDate
A,0.7222222222222222,0.05652173913043478,0.10483870967741936,230.0,Lasso Regression,ligue_1,linear_regression,A,2022-07-01
D,0.2634315424610052,0.8786127167630058,0.4053333333333333,173.0,Lasso Regression,ligue_1,linear_regression,A,2022-07-01
H,0.6923076923076923,0.2226148409893993,0.33689839572192515,283.0,Lasso Regression,ligue_1,linear_regression,A,2022-07-01
accuracy,0.3323615160349854,0.3323615160349854,0.3323615160349854,0.3323615160349854,Lasso Regression,ligue_1,linear_regression,A,2022-07-01
macro avg,0.5593204856636399,0.3859164322942799,0.2823568129108926,686.0,Lasso Regression,ligue_1,linear_regression,A,2022-07-01
weighted avg,0.5941805318949591,0.3323615160349854,0.2763525012853906,686.0,Lasso Regression,ligue_1,linear_regression,A,2022-07-01
