Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,League,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx,Market_ImpliedDiff_b365,Market_ImpliedDiff_ps,Market_BigHomeFav,Market_BigAwayFav,Market_BalancedMatch
F1,2014-08-15,Caen,Lille,0.0,1.0,A,11.0,8.0,3.0,1.0,10.0,4.0,3.0,9.0,2.0,2.0,1.0,0.0,3.6,3.1,2.15,3.72,3.21,2.25,4.1,3.37,2.4,3.68,3.2,2.11,48.0,2014/2015,Ligue1,3.0,2.0,-6.0,6.0,1.0,-1.0,1.0,0.26070799921768045,0.30275767651085467,0.4365343242714649,0.06547470200883554,1.4500000000000002,0.2623149086392312,0.30399110907723986,0.4336939822835289,0.024788128496298523,1.4700000000000002,0.4199999999999995,0.16999999999999993,0.29000000000000004,,,,,0.0,0.0,0.0,,,,,,2.2,1.2,1.0,2.4,4.0,2.0,3.0,2.0,0.0,2.2,0.7,-0.20000000000000018,,,,,-4.0,-2.0,-3.0,,,,,,1,8,4,0,3.0,3.0,1.0,0.0,2.0,3.0,,,1.0,0.6468685680682152,,,,2.16,,-0.17582632505378443,-0.17137907364429772,0,0,0
E0,2014-08-16,Arsenal,Crystal Palace,2.0,1.0,H,14.0,4.0,6.0,2.0,13.0,19.0,9.0,3.0,2.0,2.0,0.0,1.0,1.25,6.5,15.0,1.26,6.45,14.01,1.3,6.7,16.0,1.25,5.96,12.43,50.0,2014/2015,PremierLeague,10.0,4.0,6.0,-6.0,-1.0,1.0,3.0,0.7839195979899497,0.1507537688442211,0.06532663316582914,0.020512820512820662,-13.75,0.7780377995955025,0.1519887794558656,0.06997342094863193,0.02006714077826066,-12.75,0.050000000000000044,0.7400000000000002,3.5700000000000003,,,,,0.0,0.0,0.0,,,,,,0.8,1.4,-0.6,1.2,2.0,1.0,4.0,1.0,-0.6666666666666666,1.3,-0.2,-0.30000000000000004,,,,,-2.0,-1.0,-4.0,,,,,,1,8,5,1,,,,,,,,,0.33333333333333337,0.36347114947751025,,,,1.08,,0.7185929648241206,0.7080643786468706,1,0,0
E0,2014-08-16,Leicester,Everton,2.0,2.0,D,11.0,13.0,3.0,3.0,16.0,10.0,3.0,6.0,1.0,1.0,0.0,0.0,3.2,3.4,2.4,3.14,3.38,2.46,3.3,3.45,2.42,3.06,3.32,2.36,50.0,2014/2015,PremierLeague,-2.0,0.0,-3.0,6.0,0.0,0.0,4.0,0.3053892215568862,0.2874251497005988,0.40718562874251496,0.023284313725490335,0.8000000000000003,0.3119719049691585,0.2898200537287449,0.39820804130209664,0.02083339078594859,0.6800000000000002,0.23999999999999977,0.13000000000000034,0.06000000000000005,,,,,0.0,0.0,0.0,,,,,,1.0,0.6,0.4,1.8,3.0,3.0,2.0,1.0,0.0,1.6,0.5,-0.6000000000000001,,,,,-3.0,-3.0,-2.0,,,,,,1,8,5,1,,,,,,,,,0.625,0.6246096189881324,,,,1.32,,-0.10179640718562877,-0.08623613633293814,0,0,0
F1,2014-08-16,Lens,Guingamp,0.0,1.0,A,14.0,10.0,4.0,4.0,14.0,5.0,7.0,2.0,4.0,1.0,0.0,0.0,2.88,3.0,2.63,2.89,3.1,2.8,2.94,3.2,3.1,2.77,3.05,2.7,49.0,2014/2015,Ligue1,4.0,0.0,5.0,9.0,3.0,-1.0,1.0,0.32732613132872007,0.31423308607557127,0.3584407825957087,0.06078369243768478,0.25,0.3373362869690257,0.31448447398080137,0.34817923905017295,0.025744263549822177,0.0900000000000003,0.16999999999999993,0.15000000000000036,0.3999999999999999,,,,,0.0,0.0,0.0,,,,,,1.2,1.2,0.0,1.4,2.0,1.0,4.0,2.3333333333333335,1.0,1.9,0.3,0.43333333333333357,,,,,-2.0,-1.0,-4.0,,,,,,1,8,5,1,0.0,-1.0,0.0,-2.0,0.0,1.0,,,0.5454545454545454,0.49979175343606835,,,,1.96,,-0.031114651266988647,-0.010842952081147272,0,0,0
F1,2014-08-16,Lorient,Nice,0.0,0.0,D,13.0,9.0,6.0,2.0,14.0,10.0,8.0,2.0,1.0,1.0,0.0,0.0,1.75,3.4,5.0,1.78,3.55,5.48,1.9,3.6,5.6,1.77,3.4,4.86,49.0,2014/2015,Ligue1,4.0,4.0,6.0,4.0,0.0,0.0,0.0,0.5362776025236593,0.27602523659305994,0.18769716088328076,0.06554621848739495,-3.25,0.5475773628241863,0.2745599171343807,0.17786272004143278,0.025969645478876924,-3.7,0.1299999999999999,0.20000000000000018,0.7399999999999993,,,,,0.0,0.0,0.0,,,,,,1.4,1.8,-0.4,1.0,1.0,0.0,5.0,1.3333333333333333,-0.3333333333333333,1.3,0.0,0.033333333333333215,,,,,-1.0,0.0,-5.0,,,,,,1,8,5,1,3.0,1.0,3.0,1.0,0.0,0.0,,,0.5,0.4373633239612621,,,,1.2,,0.34858044164037855,0.36971464278275357,0,0,0
E0,2014-08-16,Manchester United,Swansea,1.0,2.0,A,14.0,5.0,5.0,4.0,14.0,20.0,4.0,0.0,2.0,4.0,0.0,0.0,1.36,5.0,11.0,1.37,5.1,10.6,1.38,5.5,11.03,1.34,4.96,9.32,50.0,2014/2015,PremierLeague,9.0,1.0,4.0,-6.0,-2.0,-1.0,3.0,0.7165190203230849,0.19489317352787913,0.08858780614903597,0.02620320855614966,-9.64,0.7153727057391258,0.19216874644364756,0.09245854781722665,0.020345061313328472,-9.23,0.039999999999999813,0.54,1.709999999999999,,,,,0.0,0.0,0.0,,,,,,1.6,1.4,0.2,1.4,2.0,1.0,4.0,1.3333333333333333,0.0,1.5,-0.2,-0.16666666666666674,,,,,-2.0,-1.0,-4.0,,,,,,1,8,5,1,,,,,,,,,0.6666666666666667,0.5331556147950683,,,,1.3599999999999999,,0.627931214174049,0.6229141579218992,1,0,0
F1,2014-08-16,Metz,Nantes,1.0,1.0,D,12.0,6.0,5.0,2.0,12.0,17.0,4.0,7.0,2.0,1.0,0.0,0.0,2.38,3.0,3.2,2.4,3.14,3.46,2.5,3.35,3.5,2.38,3.06,3.18,49.0,2014/2015,Ligue1,6.0,3.0,-3.0,-5.0,1.0,0.0,2.0,0.39415339136147154,0.31269502381343406,0.29315158482509446,0.06600140056022408,-0.8200000000000003,0.4068393223588622,0.3109599916118692,0.2822006860292686,0.0241553452867469,-1.06,0.1200000000000001,0.29000000000000004,0.31999999999999984,,,,,0.0,0.0,0.0,,,,,,1.0,1.2,-0.2,1.4,2.0,1.0,4.0,1.3333333333333333,-0.3333333333333333,1.5,-0.1,-0.16666666666666674,,,,,-2.0,-1.0,-4.0,,,,,,1,8,5,1,1.0,0.0,3.0,1.0,-2.0,-1.0,,,0.45454545454545453,0.45433893684688775,,,,1.3599999999999999,,0.10100180653637708,0.1246386363295936,0,0,1
F1,2014-08-16,Paris Saint-Germain,Bastia,2.0,0.0,H,15.0,5.0,5.0,1.0,9.0,15.0,4.0,4.0,1.0,3.0,0.0,0.0,1.13,8.0,19.0,1.15,9.0,21.5,1.19,9.2,23.0,1.15,7.78,17.42,48.0,2014/2015,Ligue1,10.0,4.0,0.0,-6.0,-2.0,2.0,2.0,0.8328310777491644,0.11763738973206948,0.049531532518766096,0.06258733115975779,-17.87,0.8465492726676145,0.10817018484086183,0.04528054249152356,0.027187956409392422,-20.35,0.040000000000000036,1.419999999999999,5.579999999999998,,,,,0.0,0.0,0.0,,,,,,1.0,0.8,0.2,1.6,2.0,2.0,3.0,1.3333333333333333,0.0,2.1,0.8,-0.7666666666666668,,,,,-2.0,-2.0,-3.0,,,,,,1,8,5,1,1.0,0.0,1.0,0.0,0.0,0.0,,,0.5555555555555556,0.5552470849528041,,,,1.44,,0.7832995452303984,0.8012687301760909,1,0,0
E0,2014-08-16,QPR,Hull,0.0,1.0,A,19.0,11.0,6.0,4.0,10.0,10.0,8.0,9.0,1.0,2.0,0.0,0.0,2.5,3.3,3.1,2.48,3.26,3.22,2.6,3.4,3.2,2.47,3.18,3.02,50.0,2014/2015,PremierLeague,8.0,2.0,-1.0,0.0,-1.0,-1.0,1.0,0.39001143728555093,0.2954632100648113,0.3145253526496378,0.025610948191593375,-0.6000000000000001,0.39511284421626347,0.3005766422258691,0.3043105135578674,0.02053327892046175,-0.7400000000000002,0.1299999999999999,0.21999999999999975,0.18000000000000016,,,,,0.0,0.0,0.0,,,,,,0.8,1.4,-0.6,0.8,1.0,2.0,3.0,0.3333333333333333,-1.0,1.4,-0.1,-1.0666666666666667,,,,,-1.0,-2.0,-3.0,,,,,,1,8,5,1,,,,,,,,,0.33333333333333337,0.36347114947751025,,,,0.52,,0.07548608463591311,0.09080233065839605,0,0,1
F1,2014-08-16,Rennes,Evian Thonon Gaillard,6.0,2.0,H,9.0,9.0,7.0,3.0,4.0,12.0,6.0,1.0,0.0,1.0,0.0,0.0,1.73,3.5,5.0,1.79,3.58,5.22,1.8,3.7,5.4,1.76,3.45,4.85,49.0,2014/2015,Ligue1,0.0,4.0,5.0,-8.0,-1.0,4.0,8.0,0.5433938829374321,0.2685918335662164,0.18801428349635152,0.06374896779521055,-3.27,0.5426195426195426,0.2713097713097713,0.18607068607068608,0.029559708041696053,-3.4299999999999997,0.040000000000000036,0.25,0.5500000000000007,,,,,0.0,0.0,0.0,,,,,,1.0,1.6,-0.6,0.6,1.0,1.0,4.0,0.0,-1.0,1.0,-0.4,-1.0,,,,,-1.0,-1.0,-4.0,,,,,,1,8,5,1,0.0,-2.0,0.0,-3.0,0.0,1.0,,,0.3846153846153846,0.3844675124951942,,,,0.24,,0.35537959944108055,0.3565488565488565,0,0,0
