,missing,missing_%
AC,5,0.03
AF,5,0.03
AR,5,0.03
AS,5,0.03
AST,5,0.03
AY,5,0.03
AwayTeam,4,0.02
B365A,10,0.06
B365D,10,0.06
B365H,10,0.06
Bb1X2,7234,44.21
BbAvA,7234,44.21
BbAvD,7234,44.21
BbAvH,7234,44.21
BbMxA,7234,44.21
BbMxD,7234,44.21
BbMxH,7234,44.21
Date,4,0.02
Div,4,0.02
FTAG,4,0.02
FTHG,4,0.02
FTR,4,0.02
HC,5,0.03
HF,5,0.03
HR,5,0.03
HS,5,0.03
HST,5,0.03
HY,6,0.04
HomeTeam,4,0.02
League,0,0.0
PSA,24,0.15
PSD,24,0.15
PSH,24,0.15
Season,0,0.0
SourceFile,0,0.0
