Div,Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff
E0,2014-08-23,Aston Villa,Newcastle,M Dean,0.0,0.0,D,9.0,11.0,0.0,4.0,11.0,8.0,7.0,7.0,4.0,0.0,0.0,1.0,2.5,3.4,3.0,2.56,3.36,3.01,2.65,3.45,3.11,2.5,3.27,2.92,51.0,2014/2015,-2.0,-4.0,0.0,3.0,3.0,0.0,0.0,0.3893129770992367,0.28625954198473286,0.3244274809160305,0.027450980392156765,-0.5,0.3827893175074184,0.29164900381517594,0.3255616786774057,0.020469961240310086,-0.44999999999999973,0.1499999999999999,0.18000000000000016,0.18999999999999995,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,1.0,-2.0,3.0,3.0,1.0,1.0,-1.0,3.0,3.0,3.0,3.0,0.0,1,8,5,1,3.0,1.0,0.0,-2.0,3.0,3.0
E0,2014-08-23,Chelsea,Leicester,L Mason,2.0,0.0,H,27.0,6.0,10.0,4.0,11.0,11.0,8.0,7.0,0.0,1.0,0.0,0.0,1.2,7.5,17.0,1.21,7.28,17.7,1.24,7.8,18.48,1.2,6.79,14.59,51.0,2014/2015,21.0,6.0,1.0,0.0,-1.0,2.0,2.0,0.8126195028680689,0.13001912045889102,0.05736137667304016,0.025490196078431282,-15.8,0.8099983781928543,0.13462885132051558,0.05537277048663015,0.02030609349561585,-16.49,0.040000000000000036,1.0099999999999998,3.8900000000000006,3.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1,8,5,1,3.0,2.0,1.0,0.0,2.0,2.0
E0,2014-08-23,Crystal Palace,West Ham,M Clattenburg,1.0,3.0,A,9.0,17.0,4.0,8.0,14.0,11.0,6.0,9.0,1.0,3.0,0.0,0.0,2.5,3.3,3.1,2.44,3.25,3.3,2.52,3.31,3.35,2.44,3.18,3.07,51.0,2014/2015,-8.0,-4.0,-3.0,3.0,-2.0,-2.0,4.0,0.39001143728555093,0.2954632100648113,0.3145253526496378,0.025610948191593375,-0.6000000000000001,0.40158011008349875,0.3014939903396114,0.29692589957689,0.020558676296381195,-0.8599999999999999,0.08000000000000007,0.1299999999999999,0.28000000000000025,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,5,1,0.0,-1.0,0.0,-1.0,0.0,0.0
E0,2014-08-23,Everton,Arsenal,K Friend,2.0,2.0,D,8.0,13.0,2.0,3.0,10.0,18.0,3.0,3.0,1.0,4.0,0.0,0.0,2.8,3.4,2.7,2.72,3.45,2.76,2.82,3.5,2.78,2.71,3.3,2.65,50.0,2014/2015,-5.0,-1.0,0.0,-8.0,-3.0,0.0,4.0,0.3495811119573496,0.2878903274942879,0.3625285605483625,0.02163087457205104,0.09999999999999964,0.36050156739811906,0.28422152560083597,0.355276907001045,0.01982097186700771,-0.03999999999999959,0.10999999999999988,0.20000000000000018,0.1299999999999999,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,-1.0,-2.0,-1.0,0.0,0.0,-2.0,-1.0,-2.0,-1.0,0.0,1,8,5,1,1.0,0.0,3.0,1.0,-2.0,-1.0
E0,2014-08-23,Southampton,West Brom,R East,0.0,0.0,D,8.0,8.0,2.0,2.0,14.0,15.0,1.0,5.0,1.0,2.0,0.0,0.0,1.85,3.7,4.75,1.86,3.76,4.62,1.95,3.8,4.8,1.86,3.52,4.43,50.0,2014/2015,0.0,0.0,-4.0,-1.0,-1.0,0.0,0.0,0.5292479108635098,0.2646239554317549,0.20612813370473537,0.021337126600284417,-2.9,0.5270708174039687,0.26073184052430365,0.21219734207172766,0.020042071860877586,-2.76,0.08999999999999986,0.2799999999999998,0.3700000000000001,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1,8,5,1,0.0,-1.0,1.0,0.0,-1.0,-1.0
E0,2014-08-23,Swansea,Burnley,C Pawson,1.0,0.0,H,10.0,12.0,5.0,1.0,14.0,13.0,2.0,3.0,2.0,1.0,0.0,0.0,1.65,4.0,6.0,1.64,4.13,5.98,1.7,4.11,6.25,1.64,3.83,5.65,50.0,2014/2015,-2.0,4.0,-1.0,1.0,1.0,1.0,1.0,0.5925925925925927,0.24444444444444444,0.16296296296296295,0.022727272727272707,-4.35,0.5983216159775958,0.23759018164727774,0.1640882023751266,0.019110928433860863,-4.340000000000001,0.06000000000000005,0.28000000000000025,0.5999999999999996,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,3.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,1.0,-2.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1,8,5,1,3.0,1.0,0.0,-2.0,3.0,3.0
E0,2014-08-24,Hull,Stoke,J Moss,1.0,1.0,D,9.0,19.0,2.0,3.0,10.0,10.0,4.0,5.0,1.0,3.0,1.0,0.0,2.5,3.25,3.2,2.48,3.18,3.31,2.6,3.3,3.31,2.44,3.16,3.1,51.0,2014/2015,-10.0,-1.0,-1.0,0.0,-1.0,0.0,2.0,0.3920829406220546,0.3016022620169651,0.30631479736098016,0.020192307692307843,-0.7000000000000002,0.3953946132752339,0.30835806318320125,0.2962473235415649,0.019806018882021936,-0.8300000000000001,0.16000000000000014,0.13999999999999968,0.20999999999999996,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,2.0,3.0,1.0,1.0,-1.0,3.0,2.0,3.0,2.0,0.0,1,8,6,1,3.0,1.0,0.0,-1.0,3.0,2.0
E0,2014-08-24,Sunderland,Manchester United,M Atkinson,1.0,1.0,D,11.0,10.0,3.0,3.0,10.0,15.0,4.0,4.0,0.0,2.0,0.0,0.0,5.0,4.0,1.75,4.95,3.93,1.79,5.25,4.0,1.81,4.8,3.68,1.76,50.0,2014/2015,1.0,0.0,0.0,-5.0,-2.0,0.0,2.0,0.19580419580419584,0.24475524475524477,0.5594405594405595,0.021428571428571352,3.25,0.19900873299442415,0.2506598545349617,0.5503314124706142,0.015132346105948269,3.16,0.4500000000000002,0.31999999999999984,0.050000000000000044,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,8,6,1,1.0,0.0,0.0,-1.0,1.0,1.0
E0,2014-08-24,Tottenham,QPR,A Taylor,4.0,0.0,H,18.0,9.0,5.0,1.0,12.0,6.0,7.0,6.0,0.0,1.0,0.0,0.0,1.45,4.75,8.0,1.49,4.64,7.5,1.51,4.77,8.2,1.46,4.37,7.21,50.0,2014/2015,9.0,4.0,1.0,6.0,-1.0,4.0,4.0,0.6727152024784244,0.20535516707236112,0.12192963044921443,0.025181488203266822,-6.55,0.6579867873227879,0.21129317092908492,0.13072004174812718,0.019991514309959157,-6.01,0.050000000000000044,0.39999999999999947,0.9899999999999993,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,2.0,3.0,1.0,1.0,-1.0,3.0,2.0,3.0,2.0,0.0,1,8,6,1,3.0,1.0,0.0,-1.0,3.0,2.0
E0,2014-08-25,Manchester City,Liverpool,M Oliver,3.0,1.0,H,9.0,11.0,4.0,3.0,13.0,7.0,6.0,7.0,1.0,1.0,0.0,0.0,1.85,4.0,4.33,1.83,4.05,4.43,1.88,4.1,4.5,1.83,3.72,4.26,48.0,2014/2015,-2.0,1.0,-1.0,6.0,0.0,2.0,4.0,0.5291700401765936,0.24474114358167462,0.22608881624173174,0.021487422757630492,-2.48,0.5362090143724279,0.2422870361238378,0.22150394950373437,0.019095301990119884,-2.5999999999999996,0.04999999999999982,0.37999999999999945,0.2400000000000002,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,1,8,0,0,3.0,2.0,3.0,1.0,0.0,1.0
