Metric,Baseline_HomeWin,Logistic_Regression,Gain_vs_Baseline
Accuracy,0.45588235294117646,0.46895424836601307,0.01307189542483661
Macro-F1,0.20875420875420878,0.45470421239023207,0.2459500036360233
