,precision,recall,f1-score,support,Model,League
A,0.48947368421052634,0.5254237288135594,0.5068119891008175,177.0,Logistic Regression,bundesliga
D,0.26804123711340205,0.3333333333333333,0.29714285714285715,156.0,Logistic Regression,bundesliga
H,0.6228070175438597,0.5089605734767025,0.5601577909270217,279.0,Logistic Regression,bundesliga
accuracy,0.46895424836601307,0.46895424836601307,0.46895424836601307,0.46895424836601307,Logistic Regression,bundesliga
macro avg,0.4601073129559294,0.45590587854119846,0.45470421239023207,612.0,Logistic Regression,bundesliga
weighted avg,0.49381443298969074,0.46895424836601307,0.47768632590485205,612.0,Logistic Regression,bundesliga
