,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,Month,Weekday,IsWeekend,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,FormDiff_RecentFormIdx
Prob_H_b365,1.0,-0.4621734471914314,-0.9635836380756089,-0.007373658761343757,-0.9230239921441681,0.9987327500579788,-0.4601104252871799,-0.9622738589317338,0.105091046217872,-0.9133668192852528,-0.5049753619535466,0.3749826922055834,0.5532695528504338,0.44270990453731945,-0.30614378541165543,0.4843590437827268,0.4533558387864263,0.439138135215359,0.25253842083492295,-0.22370075024488034,0.373120853630323,0.4047470398126213,0.5413097798540172,0.5695517879954656,-0.41421143639951546,0.30194480156908515,-0.46230040620377133,-0.4273986039684778,-0.41249221209844156,-0.24046654122265956,0.2071897467040813,-0.35634242848717046,-0.3922734845239422,-0.5133988313142106,-0.5424991062220417,0.6123135501886708,-0.4434464611347646,0.677704903347288,0.6293729323853,0.6122640993609488,0.3549957493177174,-0.3203069660489887,0.524312235060843,0.5729333325151088,0.7509163336781856,0.7939673595338865,-0.0016843422505069408,0.005236692045531932,-0.0021687480533874,0.00588057490453806,0.748760199464526,0.795405649204962,0.4882210694001133,0.45881063696774405,-0.4576641390313652,-0.4370587628905328,0.6718350254908625,0.6409921089385553,0.5852274061203174
Prob_D_b365,-0.4621734471914314,1.0,0.20820892460993004,-0.01310571915392977,0.4865780796370124,-0.46141105894416035,0.9878511025378579,0.2058221215561127,-0.23557418117289716,0.48994520213786763,-0.25647066842115995,-0.6492990393395103,-0.6226602402909432,-0.4366211857351534,0.1767606338472418,-0.4003511219874575,-0.3635766590222783,-0.36359288783381544,-0.16108681996806712,0.13912966637662286,-0.30691359461038575,-0.3433523610493816,-0.43703074502282613,-0.469922282366354,-0.09428361866844318,-0.06886299537071337,-0.022219871753111044,-0.007665802657681105,-0.023746563417592553,0.03761415367900341,-0.032233898016611605,-0.00762527146716949,-0.02462526961495458,-0.0026752861006836826,-0.01878990677399994,-0.24206709811628907,0.1801251190726479,-0.2708101872715854,-0.25439273381559796,-0.24309935976091146,-0.14285299580819955,0.12720045695998544,-0.21493548667817305,-0.2296992871587797,-0.3098271209607904,-0.3230553269562406,0.002600902099712435,-0.009878204289984784,0.012515614613617504,0.00384352610070678,-0.3023722551453521,-0.3159591557368734,-0.45224449744787526,-0.3665480673392465,-0.07943160691876935,0.0013900455185828064,-0.2595354584783559,-0.26335640416987494,-0.2385538781026959
Prob_A_b365,-0.9635836380756089,0.20820892460993004,1.0,0.012084742263486171,0.87132386432025,-0.9618857537145634,0.20997706300056443,0.9985721404377951,-0.04496871410912664,0.8592271248010244,0.6412405710765817,-0.21298278829400477,-0.4193490742892383,-0.35670121283215994,0.28442261388229434,-0.4135887975455959,-0.3904782208375947,-0.37470763888411396,-0.22996224929518475,0.2047768198706931,-0.31905397115377476,-0.3429530786878763,-0.465353381657129,-0.4865890016158356,0.48508797560374484,-0.31213970565834687,0.5163856743553543,0.4735195505891873,0.4621188735731831,0.2538801612188509,-0.21879991691434886,0.3951675595088425,0.4399056641867159,0.5668310303623366,0.6037713058071085,-0.6023225510669412,0.43475850015125506,-0.6657749673804767,-0.6174205937788696,-0.6019911345901584,-0.3484658634767083,0.3149258240816816,-0.5134479972251059,-0.562619867686391,-0.7347541905869167,-0.7782459269513302,0.001073393684260686,-0.002797083503040576,-0.0013820031870289174,-0.007644975869718657,-0.7346525776287472,-0.7820039747853784,-0.4021968277724294,-0.39559970779431297,0.5285182672353728,0.48144041313478425,-0.6627008046670605,-0.6275324322043249,-0.5735089317690216
Margin_B365,-0.007373658761343757,-0.01310571915392977,0.012084742263486171,1.0,0.02679602119787189,-0.0051765642758308215,-0.012817243753027069,0.009669008870711033,0.23596278659135217,0.014591036110228184,0.024367290514779885,0.026095389484381015,0.02189262073026212,0.011208331400531204,0.005005328512414622,0.004380542641122499,0.001959397141199097,-0.004713298831531314,-0.0222615908356974,0.004582901685591891,-0.0004238778347217568,-0.0023043943661795385,0.0008914211120169229,0.0037120436705513327,0.016332033735649967,0.015277803638200535,0.0018284016236435653,0.0009380936391825931,-0.011248952206321291,-0.029187398008585618,0.011593922283700852,-0.0011388853232657072,0.00041323956103369956,0.0023008733878515887,0.0032655989016537722,-0.0045808698343430335,-0.007184472648645751,0.0012351698503162032,0.00013383551976132,0.0047513447563843035,0.005084812544879574,-0.005241948776886158,-0.00014571029311136923,-0.0025754588971576807,-0.0013062444363074318,-2.703553923569151e-05,0.0010499136762887054,-0.0084164478606561,0.02877872476343109,-0.03650026183115972,-0.0031724573477951677,-0.0031862542865709136,0.003057296664864746,0.004979836649237329,0.005633202957437747,0.004573008642108971,-0.0026281297005779,-0.0002563521375900943,-4.69562903644899e-05
OddsDiff_B365,-0.9230239921441681,0.4865780796370124,0.87132386432025,0.02679602119787189,1.0,-0.9234836041888971,0.48448248561890705,0.8715908865281127,-0.07280266623930282,0.987983539973155,0.5361597127660617,-0.5594477655252369,-0.7523523020735752,-0.44228057683258365,0.3013768031375165,-0.48112717715242576,-0.440436121228913,-0.4286162758885323,-0.2573286903728369,0.23122920326837293,-0.36619022790518646,-0.4036850655583953,-0.5266043542317942,-0.5657072238670525,0.3877149519891468,-0.26013820526855846,0.4191584640190954,0.3834427648527886,0.37030577290198874,0.2088160861003281,-0.17748692174849062,0.3186239722800378,0.3542267507941469,0.4609455802800269,0.4923716516910092,-0.592764669914723,0.40946477810606335,-0.6441662278580692,-0.5885560797282622,-0.5742619251128458,-0.33558438830079446,0.3037534067628067,-0.49209472439085666,-0.5445121743520107,-0.7028702066876757,-0.7551558697341691,-0.00024010388997094826,-0.004818045717543449,0.009165833944277642,-0.0016757060582423859,-0.6990052263304668,-0.7533928671680195,-0.5042813806457467,-0.447117318336335,0.42397296744342483,0.3931583785755408,-0.6585590862701577,-0.6009587746970779,-0.5484636233195214
Prob_H_ps,0.9987327500579788,-0.46141105894416035,-0.9618857537145634,-0.0051765642758308215,-0.9234836041888971,1.0,-0.46514907263064154,-0.962126625992799,0.10359478868598365,-0.9154098475250931,-0.5049034821172982,0.391564565945154,0.5622379270215305,0.44240631536861114,-0.30664165371740615,0.4845370196198685,0.45328531845722697,0.4386502275247701,0.2530343179846274,-0.22493027516021977,0.37301827626113515,0.4045258232638686,0.540945543635349,0.5693463692426729,-0.412364328779596,0.30241935332715414,-0.4613223966250736,-0.42621130457218287,-0.41156605506337346,-0.24050859049961754,0.20641974443821293,-0.35557239992971323,-0.39182944031937683,-0.5119304289527886,-0.5409961835069472,0.6109750272137286,-0.4442720233369718,0.6773878549155694,0.6287727125391996,0.6115271863708581,0.3554385641809558,-0.32071882336839574,0.5238893884283848,0.5725202239596692,0.7500007150457674,0.7932972637322518,-0.0010713038923303479,0.00564658064263576,-0.0013755285832451885,0.006890356365123686,0.7477568710540897,0.7942827501544069,0.48851888378536096,0.45939978927904357,-0.4564055225131798,-0.436409506560421,0.6713772780451107,0.6411835014764655,0.5847373113800121
Prob_D_ps,-0.4601104252871799,0.9878511025378579,0.20997706300056443,-0.012817243753027069,0.48448248561890705,-0.46514907263064154,1.0,0.2062153744420219,-0.22919469048821264,0.49123961372055375,-0.2562859650331261,-0.6891413375869617,-0.6277095690232992,-0.4394060865147689,0.17315732465439676,-0.4000346012290018,-0.36307408593446705,-0.36271600537219173,-0.15888222493204537,0.13650672309395484,-0.3063093314720091,-0.3419888507685661,-0.43608547562414485,-0.4686881306919369,-0.10026760639701959,-0.07316042558915106,-0.02367101267262054,-0.009124246017009322,-0.02529313246785173,0.03863377937768247,-0.03333050786860952,-0.007775003779692018,-0.024844445122106283,-0.004767011506638679,-0.02151868981252062,-0.23960624329332295,0.18061768604236808,-0.2694871931773679,-0.2530393057944376,-0.24139646599728962,-0.14202205174883184,0.12609139641133818,-0.21439840635468363,-0.22846221274739872,-0.30768041870946716,-0.32011046530029313,0.00115268733036895,-0.007403910374882313,0.008229092848468688,-0.0015146243516424138,-0.29977225702514104,-0.3124474920678981,-0.4532209846848692,-0.3670892897854126,-0.08203682391777303,-0.0002872811319120136,-0.25823260962218036,-0.2625738309440057,-0.23769571836890419
Prob_A_ps,-0.9622738589317338,0.2058221215561127,0.9985721404377951,0.009669008870711033,0.8715908865281127,-0.962126625992799,0.2062153744420219,1.0,-0.043930888007666695,0.8605890114793894,0.6433004938132019,-0.2156320027626188,-0.42504814821846343,-0.3537925549575862,0.2856894073721197,-0.4124962340125991,-0.38932760967406704,-0.3731728787630762,-0.23076878523837036,0.2065939293330541,-0.3180677987460236,-0.3419137804363808,-0.46375776948643305,-0.4851165979351332,0.4864802540180067,-0.3116283268410937,0.5170011028766074,0.4737299236054729,0.4627204228639204,0.25395317345633,-0.2179056048103185,0.39526559273968925,0.440579300521993,0.5671002245230775,0.6043704700865057,-0.6015196954850159,0.43543004443693684,-0.665723787129561,-0.6170551372106442,-0.6016251127309379,-0.3491550646293245,0.3156827760203703,-0.5130279866587203,-0.5624479762112023,-0.73422141793041,-0.7782486089555526,0.0008291909423088675,-0.003961546235425034,-0.001013644545859706,-0.007149951340704632,-0.7341395836978228,-0.7816603144509553,-0.4005190065217616,-0.39485108328372476,0.5295308469441179,0.4822783151151417,-0.6625455038343155,-0.6278368972757774,-0.5731083210127238
Margin_PS,0.105091046217872,-0.23557418117289716,-0.04496871410912664,0.23596278659135217,-0.07280266623930282,0.10359478868598365,-0.22919469048821264,-0.043930888007666695,1.0,-0.07115874804737449,0.017560146119289508,0.0027495204843360883,0.04131279376130764,0.10292976899484466,-0.02889579323362847,0.08649685020328605,0.07744221069126289,0.08450107043003818,0.026533705740696162,0.010719559093441902,0.06917501735832295,0.07645412907450237,0.09148268944612702,0.1003827613803393,0.013998634844676356,0.04215953082120561,-0.015967897861067226,-0.01982739449571832,-0.010411562135584557,-0.030181012999331097,0.06159495581057678,-0.017538537354162304,-0.014124994415044851,-0.02003562472570924,-0.017358048107906747,0.06261278415810115,-0.05149831307386554,0.07300348897146305,0.0690961232186621,0.06802231540254074,0.04085458425828277,-0.037971986060707646,0.0617150280554838,0.06474944751023869,0.07940328020468237,0.08411271116910085,0.008425252419041752,-0.09568680605502565,0.016227653464286437,0.02049625305914509,0.0823186774385888,0.08508409557112773,0.0920063284694373,0.08147445522083553,-0.007988847408841525,-0.017670189884227652,0.06975727781280698,0.07071959205909482,0.06701927820799052
OddsDiff_PS,-0.9133668192852528,0.48994520213786763,0.8592271248010244,0.014591036110228184,0.987983539973155,-0.9154098475250931,0.49123961372055375,0.8605890114793894,-0.07115874804737449,1.0,0.5419247215251204,-0.5667743803943212,-0.7673654260705265,-0.4362282970515303,0.3040346503820213,-0.47880599285786546,-0.4393764021077797,-0.4265675608342623,-0.2622651586824925,0.23773104971900955,-0.3648128757140802,-0.4006057336731849,-0.5248271842129333,-0.5626726558002934,0.38320771589148145,-0.2566156090826786,0.41397102238950484,0.3777389904844542,0.36557951201091876,0.20525507716701122,-0.17256209887249535,0.3146120741240908,0.35116930904460447,0.45396097181288475,0.4855943832285424,-0.5854389623072536,0.4089507267351368,-0.6390155780526294,-0.5839714665189171,-0.5696372172251633,-0.3366096448011588,0.3049700130724445,-0.488404762283176,-0.5401719752514227,-0.6969688115252466,-0.7486246473272612,-0.0011344006579881351,-0.007452814395694866,0.009271268020490568,-0.0018923855318586757,-0.6940284662805297,-0.7474788811371299,-0.5025723037153745,-0.4471785082532511,0.41880401450070726,0.38820716730961674,-0.6538727320013993,-0.5976591869997405,-0.54430229200963
