Metric,Baseline_HomeWin,Random_Forest,Gain_vs_Baseline
Accuracy,0.4723684210526316,0.5355263157894737,0.06315789473684214
Macro-F1,0.2138814417634793,0.4884863556749964,0.2746049139115171
