TrainSize,Train_F1,CV_F1
212,0.7363724650630283,0.44538816340296383
532,0.735749686241197,0.45850564889105083
1064,0.7244010065531001,0.4754740596988274
1596,0.7120876508827391,0.482371205549493
2128,0.6912114494619255,0.4860356393129452
