Metric,Baseline_HomeWin,XGBoost,Gain_vs_Baseline
Accuracy,0.45588235294117646,0.4591503267973856,0.0032679738562091387
Macro-F1,0.20875420875420878,0.4278027543084515,0.21904854555424272
