Metric,Baseline_HomeWin,Linear_Model,Gain_vs_Baseline
Accuracy,0.42105263157894735,0.6657894736842105,0.24473684210526314
Macro-F1,0.2962962962962963,0.6468504858915818,0.3505541895952855
