Model,Accuracy,Macro-F1,RMSE,R²
Linear Regression,0.6657894736842105,0.6468504858915818,0.4592568362115759,0.13476159295283063
Ridge Regression,0.6671052631578948,0.6441572237305011,0.4562604103324252,0.14601527391757507
Lasso Regression,0.6710526315789473,0.6491228070175439,0.454910823508492,0.15105985793627352
Elastic Net Regression,0.6684210526315789,0.6468088873152165,0.45513197975870734,0.15023422774240913
